original_lang,original_content,original_question,original_answer,content,question,answer,language,translated,q_id,title,url
en,"Magarat is It was settled and inhabited by Magars, one of the largest indigenous ethnic groups of Nepal. It is a geographical cluster in Nepal that existed in the modern territory of Nepal before the Unification of Nepal. It extended from the Budhi Gandaki River the West.Palpa district and Rolpa district of Nepal (majority of Kham Magars), both located in Province 5 of Nepal, are the top two districts of Nepal with the highest indigenous Magar population.== Magars ==Magars are martial people who first established their kingdom in present-day western Nepal. They were animistic and shamanic in their religious practices. The Kham Magar of the upper Karnali basin and their brethren of the mid-hills of Nepal had a flourishing kingdom. Archaeological proof of their existence can be found in the western mid-hills of Nepal. The Magar have a strong military and warrior tradition. However, their hospitality and concern for their fellow human beings is legendary.",What religious practice did the Magars follow?,Animism and shamanism,"Réponse en français :
Magarat est un groupe géographique au Népal qui existait sur le territoire moderne du Népal avant l'unification du Népal. Il s'étendait de la rivière Budhi Gandaki à l'ouest. Les districts de Palpa et de Rolpa au Népal (majorité de Magars Kham), tous deux situés dans la province 5 du Népal, sont les deux principaux districts du Népal où la population indigène magar est la plus importante.

== Les Magars ==
Les Magars sont un peuple guerrier qui a établi son premier royaume dans l'actuel Népal occidental. Leurs pratiques religieuses étaient animistes et chamaniques. Les Magars Kham du bassin supérieur du Karnali et leurs frères des collines moyennes du Népal avaient un royaume florissant. Des preuves archéologiques de leur existence peuvent être trouvées dans les collines moyennes occidentales du Népal. Les Magars ont une forte tradition militaire et guerrière. Cependant, leur hospitalité et leur souci de leurs semblables sont légendaires.",Quelle pratique religieuse les Magars suivaient-ils ?,L'animisme et le chamanisme,fr,1,46,Magarat,https://en.wikipedia.org/wiki/Magarat
en,"Magarat is It was settled and inhabited by Magars, one of the largest indigenous ethnic groups of Nepal. It is a geographical cluster in Nepal that existed in the modern territory of Nepal before the Unification of Nepal. It extended from the Budhi Gandaki River the West.Palpa district and Rolpa district of Nepal (majority of Kham Magars), both located in Province 5 of Nepal, are the top two districts of Nepal with the highest indigenous Magar population.== Magars ==Magars are martial people who first established their kingdom in present-day western Nepal. They were animistic and shamanic in their religious practices. The Kham Magar of the upper Karnali basin and their brethren of the mid-hills of Nepal had a flourishing kingdom. Archaeological proof of their existence can be found in the western mid-hills of Nepal. The Magar have a strong military and warrior tradition. However, their hospitality and concern for their fellow human beings is legendary.",What religious practice did the Magars follow?,Animism and shamanism,"מאגראט היא התיישבה ויושבה על ידי מאגאר, אחת הקבוצות האתניות הילידיות הגדולות ביותר בנפאל. זהו אשכול גיאוגרפי בנפאל שהיה קיים בשטח המודרני של נפאל לפני איחוד נפאל. הוא השתרע מנהר בודי גנדאקי במערב. מחוז פאלפה ומחוז רולפה של נפאל (רוב המגרים של קאם), שניהם ממוקמים במחוז 5 של נפאל, הם שני המחוזות המובילים בנפאל עם אוכלוסיית המגרים הילידים הגבוהה ביותר. == מאגרים == מאגרים הם עם לוחם שהקים לראשונה את ממלכתו בנפאל המערבית של ימינו. הם היו אנימיסטיים ושמאניים במנהגיהם הדתיים. לקאם מאגאר מהאגן העליון של קרנאלי ולאחיהם מגבעות האמצע של נפאל הייתה ממלכה משגשגת. הוכחה ארכיאולוגית לקיומם ניתן למצוא בגבעות המערביות של נפאל. למאגר יש מסורת צבאית ולוחמת חזקה. עם זאת, האירוח והדאגה שלהם לבני האדם האחרים שלהם אגדיים.",איזה מנהג דתי קיימו המגרים?,אנימיזם ושמאניזם,he,1,46,Magarat,https://en.wikipedia.org/wiki/Magarat
en,"Magarat is It was settled and inhabited by Magars, one of the largest indigenous ethnic groups of Nepal. It is a geographical cluster in Nepal that existed in the modern territory of Nepal before the Unification of Nepal. It extended from the Budhi Gandaki River the West.Palpa district and Rolpa district of Nepal (majority of Kham Magars), both located in Province 5 of Nepal, are the top two districts of Nepal with the highest indigenous Magar population.== Magars ==Magars are martial people who first established their kingdom in present-day western Nepal. They were animistic and shamanic in their religious practices. The Kham Magar of the upper Karnali basin and their brethren of the mid-hills of Nepal had a flourishing kingdom. Archaeological proof of their existence can be found in the western mid-hills of Nepal. The Magar have a strong military and warrior tradition. However, their hospitality and concern for their fellow human beings is legendary.",What religious practice did the Magars follow?,Animism and shamanism,马加拉特是由尼泊尔最大的土著民族之一马加尔人建立和居住的。它是尼泊尔的一个地理集群，在尼泊尔统一之前就存在于尼泊尔的现代领土上。它从西部的布迪甘达基河延伸。尼泊尔的帕尔帕区和罗尔帕区（主要是卡姆马加尔人），均位于尼泊尔的第五省，是土著马加尔人口最多的两个区。== 马加尔人 == 马加尔人是尚武的民族，他们在尼泊尔西部建立了他们的第一个王国。他们在宗教信仰上是万物有灵论者和萨满教徒。上卡尔纳利河流域的卡姆马加尔人和尼泊尔中部的同胞拥有一个繁荣的王国。在尼泊尔西部中部山区可以找到他们存在的考古证据。马加尔人有着强大的军事和战士传统。然而，他们的热情和对同胞的关怀是众所周知的。,马加尔人信奉什么宗教？,万物有灵论和萨满教,zh,1,46,Magarat,https://en.wikipedia.org/wiki/Magarat
en,"Magarat is It was settled and inhabited by Magars, one of the largest indigenous ethnic groups of Nepal. It is a geographical cluster in Nepal that existed in the modern territory of Nepal before the Unification of Nepal. It extended from the Budhi Gandaki River the West.Palpa district and Rolpa district of Nepal (majority of Kham Magars), both located in Province 5 of Nepal, are the top two districts of Nepal with the highest indigenous Magar population.== Magars ==Magars are martial people who first established their kingdom in present-day western Nepal. They were animistic and shamanic in their religious practices. The Kham Magar of the upper Karnali basin and their brethren of the mid-hills of Nepal had a flourishing kingdom. Archaeological proof of their existence can be found in the western mid-hills of Nepal. The Magar have a strong military and warrior tradition. However, their hospitality and concern for their fellow human beings is legendary.",What religious practice did the Magars follow?,Animism and shamanism,"마가라트는 네팔에서 가장 큰 토착 민족 집단 중 하나인 마가르족이 정착하고 거주한 지역입니다. 이 지역은 네팔 통일 이전 현대 네팔 영토에 존재했던 네팔의 지리적 집단입니다. 서쪽으로는 부디 간다키 강에서 확장되었습니다.네팔의 팔파 지역과 롤파 지역(카마 마가르족의 대부분)은 모두 네팔의 5번 주에 위치해 있으며, 토착 마가르족 인구가 가장 많은 네팔의 최고 2개 지역입니다.== 마가르족 ==마가르족은 현재 네팔 서부에 왕국을 처음으로 세운 용맹한 사람들입니다. 그들의 종교적 관습은 애니미즘적이고 주술적이었습니다. 카르날리 상류 분지의 캄 마가르족과 네팔 중부 언덕의 형제들은 번성하는 왕국을 가지고 있었습니다. 네팔 서부 중부 언덕에서 그들의 존재에 대한 고고학적 증거를 찾을 수 있습니다. 마가르족은 강력한 군대와 전사 전통을 가지고 있습니다. 그러나 그들의 환대와 동료 인간에 대한 배려는 전설적입니다.",마가르족이 따르던 종교적 관습은 무엇입니까?,애니미즘과 주술,ko,1,46,Magarat,https://en.wikipedia.org/wiki/Magarat
en,"Magarat is It was settled and inhabited by Magars, one of the largest indigenous ethnic groups of Nepal. It is a geographical cluster in Nepal that existed in the modern territory of Nepal before the Unification of Nepal. It extended from the Budhi Gandaki River the West.Palpa district and Rolpa district of Nepal (majority of Kham Magars), both located in Province 5 of Nepal, are the top two districts of Nepal with the highest indigenous Magar population.== Magars ==Magars are martial people who first established their kingdom in present-day western Nepal. They were animistic and shamanic in their religious practices. The Kham Magar of the upper Karnali basin and their brethren of the mid-hills of Nepal had a flourishing kingdom. Archaeological proof of their existence can be found in the western mid-hills of Nepal. The Magar have a strong military and warrior tradition. However, their hospitality and concern for their fellow human beings is legendary.",What religious practice did the Magars follow?,Animism and shamanism,マガレットは、ネパールで最も大きな先住民民族の 1 つであるマガル族によって定住され、居住されました。この地域は、ネパールの統一以前に現在のネパールの領土内に存在したネパールの地理的クラスターです。それは西のブッディ・ガンダキ川から伸びていました。ネパールのパルパ地区とロルパ地区 (カム・マガル族の大多数) は、ともにネパール州 5 に位置し、先住マガル族の人口が最も多いネパールの 2 つの地区です。== マガル族 == マガル族は、現在のネパール西部に王国を最初に築いた好戦的な民族です。彼らは宗教的実践においてアニミズム的でシャーマニックでした。カルナリ川上流域のカム・マガル族とネパール中部の丘陵地帯にいる彼らの同胞は、繁栄した王国を築いていました。彼らの存在の考古学的証拠は、ネパール中部の丘陵地帯西部で見つけることができます。マガル族は、強い軍事と戦士の伝統を持っています。しかし、彼らのもてなしと仲間の人間に対する気遣いは伝説的です。,マガル族が従っていた宗教的実践は何でしたか？,アニミズムとシャーマン教,ja,1,46,Magarat,https://en.wikipedia.org/wiki/Magarat
en,"Magarat is It was settled and inhabited by Magars, one of the largest indigenous ethnic groups of Nepal. It is a geographical cluster in Nepal that existed in the modern territory of Nepal before the Unification of Nepal. It extended from the Budhi Gandaki River the West.Palpa district and Rolpa district of Nepal (majority of Kham Magars), both located in Province 5 of Nepal, are the top two districts of Nepal with the highest indigenous Magar population.== Magars ==Magars are martial people who first established their kingdom in present-day western Nepal. They were animistic and shamanic in their religious practices. The Kham Magar of the upper Karnali basin and their brethren of the mid-hills of Nepal had a flourishing kingdom. Archaeological proof of their existence can be found in the western mid-hills of Nepal. The Magar have a strong military and warrior tradition. However, their hospitality and concern for their fellow human beings is legendary.",What religious practice did the Magars follow?,Animism and shamanism,"Respuesta en español:
Magarat fue establecido y habitado por magares, uno de los grupos étnicos autóctonos más grandes de Nepal. Es una agrupación geográfica en Nepal que existió en el territorio moderno de Nepal antes de la Unificación de Nepal. Se extendía desde el río Budhi Gandaki en el oeste. El distrito de Palpa y el distrito de Rolpa de Nepal (mayoría de magares Kham), ambos ubicados en la Provincia 5 de Nepal, son los dos distritos principales de Nepal con la población indígena magar más alta. == Magares == Los magares son un pueblo marcial que estableció por primera vez su reino en el actual Nepal occidental. Eran animistas y chamánicos en sus prácticas religiosas. Los magares Kham de la cuenca superior del Karnali y sus hermanos de las colinas medias de Nepal tenían un reino floreciente. Se pueden encontrar pruebas arqueológicas de su existencia en las colinas medias occidentales de Nepal. Los magar tienen una fuerte tradición militar y guerrera. Sin embargo, su hospitalidad y preocupación por sus semejantes es legendaria.",¿Qué prácticas religiosas seguían los magares?,Animismo y chamanismo,es,1,46,Magarat,https://en.wikipedia.org/wiki/Magarat
es,"Cara a cara es un programa de televisión chileno conducido por Tomás Cox desde 1999. Entre ese año y octubre de 2020 se emitió por las pantallas de La Red y posteriormente se mudó a Vive de VTR.[1]​Es considerado el programa de conversación más longevo de la televisión chilena.[¿según quién?]== Historia ==En mayo de 1996 el reconocido productor de eventos Tomás Cox inició un programa en La Red llamado La revista y que incluía una entrevista a un personaje reconocido. La sección comenzó a tener cada vez mayor relevancia y en 1999 se convirtió en un programa llamado Cara a cara.[2]​Se trata de una conversación distendida para conocer sobre la trayectoria del invitado y algo más. Sus capítulos eran grabados en el salón de algún hotel del capital, generalmente el Ritz-Carlton y Regal Pacific, y un año en el Palacio Concha. A partir de mayo de 2015 se realizó desde los estudios de La Red en Macul.En 2003 una entrevista a la vedette Tatiana Merino entregó el rating más alto que ha registrado La Red en toda su historia.[3]​ Ese mismo año el programa viajó a Buenos Aires para registrar capítulos con reconocidas figuras trasandinas como Mirtha Legrand, Catherine Fulop y Roberto Giordano.En octubre de 2006 el programa dejó el horario del sábado a la medianoche y emigró al domingo a las 11.30 horas.En marzo de 2020 las grabaciones del programa entraron en una pausa indefinida debido a la llegada del coronavirus. Finalmente, con la creación del espacio político Pauta libre y un cambio en la línea editorial del canal, La Red confirmó que Cara a cara no regresaría después de 20 años al aire.[4]​Más tarde, Tomás Cox anunció la llegada del programa al canal Vive de VTR con un capítulo estreno cada domingo en horario prime y realizado desde el Rennaissance Hotel Santiago.[cita requerida]== Invitados ==Algunos de los invitados más destacados.","En qué año se inició el programa ""Cara a cara"" en la televisión chilena?",1999,"Face to Face is a Chilean television program hosted by Tomás Cox since 1999. Between that year and October 2020, it aired on La Red and later moved to Vive on VTR.[1] It is considered the longest-running talk show on Chilean television.[by whom?]

== History ==
In May 1996, renowned event producer Tomás Cox launched a program on La Red called La Revista, which included an interview with a prominent figure. This segment gained increasing relevance and in 1999 became its own show titled Face to Face.[2]

The show features relaxed conversations to explore the guest's career and personal life. Episodes were recorded in the lounge of a hotel in the capital, usually the Ritz-Carlton and Regal Pacific, and for one year at the Palacio Concha. From May 2015, the show was filmed at La Red's studios in Macul.

In 2003, an interview with vedette Tatiana Merino achieved the highest rating ever recorded by La Red.[3] That same year, the show traveled to Buenos Aires to feature renowned Argentine figures such as Mirtha Legrand, Catherine Fulop, and Roberto Giordano.

In October 2006, the show moved from its Saturday midnight slot to Sunday at 11:30 AM.

In March 2020, the show's production was paused indefinitely due to the COVID-19 pandemic. Eventually, with the creation of the political talk show Pauta Libre and a change in the channel's editorial line, La Red confirmed that Face to Face would not return after 20 years on air.[4]

Later, Tomás Cox announced the show's arrival on VTR's Vive channel, with new episodes premiering every Sunday in prime time, filmed at the Renaissance Hotel Santiago.[citation needed]

== Guests ==
Notable guests include:","In which year was the ""Face to Face"" program launched on Chilean television?",1999,en,1,126,Cara a cara (Chile),https://es.wikipedia.org/wiki/Cara_a_cara_(Chile)
es,"Cara a cara es un programa de televisión chileno conducido por Tomás Cox desde 1999. Entre ese año y octubre de 2020 se emitió por las pantallas de La Red y posteriormente se mudó a Vive de VTR.[1]​Es considerado el programa de conversación más longevo de la televisión chilena.[¿según quién?]== Historia ==En mayo de 1996 el reconocido productor de eventos Tomás Cox inició un programa en La Red llamado La revista y que incluía una entrevista a un personaje reconocido. La sección comenzó a tener cada vez mayor relevancia y en 1999 se convirtió en un programa llamado Cara a cara.[2]​Se trata de una conversación distendida para conocer sobre la trayectoria del invitado y algo más. Sus capítulos eran grabados en el salón de algún hotel del capital, generalmente el Ritz-Carlton y Regal Pacific, y un año en el Palacio Concha. A partir de mayo de 2015 se realizó desde los estudios de La Red en Macul.En 2003 una entrevista a la vedette Tatiana Merino entregó el rating más alto que ha registrado La Red en toda su historia.[3]​ Ese mismo año el programa viajó a Buenos Aires para registrar capítulos con reconocidas figuras trasandinas como Mirtha Legrand, Catherine Fulop y Roberto Giordano.En octubre de 2006 el programa dejó el horario del sábado a la medianoche y emigró al domingo a las 11.30 horas.En marzo de 2020 las grabaciones del programa entraron en una pausa indefinida debido a la llegada del coronavirus. Finalmente, con la creación del espacio político Pauta libre y un cambio en la línea editorial del canal, La Red confirmó que Cara a cara no regresaría después de 20 años al aire.[4]​Más tarde, Tomás Cox anunció la llegada del programa al canal Vive de VTR con un capítulo estreno cada domingo en horario prime y realizado desde el Rennaissance Hotel Santiago.[cita requerida]== Invitados ==Algunos de los invitados más destacados.","En qué año se inició el programa ""Cara a cara"" en la televisión chilena?",1999,"Face à Face est une émission de télévision chilienne animée par Tomás Cox depuis 1999. Entre cette année-là et octobre 2020, elle a été diffusée sur les écrans de La Red, avant de passer sur Vive de VTR.[1] Elle est considérée comme l'émission de talk-show la plus ancienne de la télévision chilienne.[par qui ?]== Historique ==En mai 1996, le célèbre producteur d'événements Tomás Cox a lancé une émission sur La Red intitulée La revista, qui comprenait une interview d'une personnalité reconnue. Cette section a commencé à prendre de plus en plus d'importance et, en 1999, elle est devenue une émission à part entière appelée Face à Face.[2] Il s'agit d'une conversation détendue visant à faire connaître le parcours de l'invité et bien plus encore. Les épisodes étaient enregistrés dans le salon d'un hôtel de la capitale, généralement le Ritz-Carlton ou le Regal Pacific, et pendant un an au Palacio Concha. À partir de mai 2015, ils ont été réalisés depuis les studios de La Red à Macul.En 2003, une interview de la vedette Tatiana Merino a permis à La Red d'atteindre le plus haut taux d'audience de son histoire.[3] La même année, l'émission s'est rendue à Buenos Aires pour enregistrer des épisodes avec des personnalités argentines reconnues telles que Mirtha Legrand, Catherine Fulop et Roberto Giordano.En octobre 2006, l'émission a quitté le créneau du samedi à minuit pour passer au dimanche à 11h30.En mars 2020, les enregistrements de l'émission ont été suspendus indéfiniment en raison de l'arrivée du coronavirus. Finalement, avec la création de l'émission politique Pauta libre et un changement de ligne éditoriale de la chaîne, La Red a confirmé que Face à Face ne reviendrait pas après 20 ans de diffusion.[4] Plus tard, Tomás Cox a annoncé l'arrivée de l'émission sur la chaîne Vive de VTR avec un nouvel épisode chaque dimanche en horário de grande écoute, réalisé depuis le Renaissance Hotel Santiago.[citation nécessaire]== Invités ==Parmi les invités les plus notables, on peut citer :","En quelle année l'émission ""Cara a cara"" a-t-elle été lancée à la télévision chilienne ?",1999,fr,1,126,Cara a cara (Chile),https://es.wikipedia.org/wiki/Cara_a_cara_(Chile)
es,"Cara a cara es un programa de televisión chileno conducido por Tomás Cox desde 1999. Entre ese año y octubre de 2020 se emitió por las pantallas de La Red y posteriormente se mudó a Vive de VTR.[1]​Es considerado el programa de conversación más longevo de la televisión chilena.[¿según quién?]== Historia ==En mayo de 1996 el reconocido productor de eventos Tomás Cox inició un programa en La Red llamado La revista y que incluía una entrevista a un personaje reconocido. La sección comenzó a tener cada vez mayor relevancia y en 1999 se convirtió en un programa llamado Cara a cara.[2]​Se trata de una conversación distendida para conocer sobre la trayectoria del invitado y algo más. Sus capítulos eran grabados en el salón de algún hotel del capital, generalmente el Ritz-Carlton y Regal Pacific, y un año en el Palacio Concha. A partir de mayo de 2015 se realizó desde los estudios de La Red en Macul.En 2003 una entrevista a la vedette Tatiana Merino entregó el rating más alto que ha registrado La Red en toda su historia.[3]​ Ese mismo año el programa viajó a Buenos Aires para registrar capítulos con reconocidas figuras trasandinas como Mirtha Legrand, Catherine Fulop y Roberto Giordano.En octubre de 2006 el programa dejó el horario del sábado a la medianoche y emigró al domingo a las 11.30 horas.En marzo de 2020 las grabaciones del programa entraron en una pausa indefinida debido a la llegada del coronavirus. Finalmente, con la creación del espacio político Pauta libre y un cambio en la línea editorial del canal, La Red confirmó que Cara a cara no regresaría después de 20 años al aire.[4]​Más tarde, Tomás Cox anunció la llegada del programa al canal Vive de VTR con un capítulo estreno cada domingo en horario prime y realizado desde el Rennaissance Hotel Santiago.[cita requerida]== Invitados ==Algunos de los invitados más destacados.","En qué año se inició el programa ""Cara a cara"" en la televisión chilena?",1999,"פנים מול פנים היא תוכנית טלוויזיה צ'יליאנית המנוהלת על ידי תומאס קוקס מאז 1999. בין השנה הזו לאוקטובר 2020 היא שודרה במסכי La Red ולאחר מכן עברה ל-Vive של VTR.[1] היא נחשבת לתוכנית השיחות הוותיקה ביותר בטלוויזיה הצ'יליאנית.[לפי מי?]

== היסטוריה ==
במאי 1996 מפיק האירועים המוכר תומאס קוקס יזם תוכנית ב-La Red בשם La revista שכללה ראיון עם דמות מוכרת. הסקציה החלה לקבל יותר ויותר רלוונטיות וב-1999 היא הפכה לתוכנית בשם פנים מול פנים.[2] מדובר בשיחה קלילה שמטרתה ללמוד על מסלול חיי האורח ועוד קצת. הפרקים שלה צולמו באולם של מלון כלשהו בבירה, בדרך כלל ריץ-קרלטון וריגל פסיפיק, ולמשך שנה בארמון קונצ'ה. מאי 2015 היא בוצעה מאולפני La Red במאקול.

ב-2003 ראיון עם הוודט טטיאנה מרינו סיפק את הרייטינג הגבוה ביותר שרשמה La Red אי פעם.[3] באותה שנה התוכנית נסעה לבואנוס איירס כדי לצלם פרקים עם דמויות טרנס-אנדיות מוכרות כמו מירתה לגרנד, קתרין פולופ ורוברטו ג'ורדאנו.

באוקטובר 2006 התוכנית עברה משבת בחצות ליום ראשון ב-11:30.

במרץ 2020 הקלטות התוכנית נכנסו להפסקה ללא הגבלת זמן עקב התפרצות הקורונה. לבסוף, עם יצירת המרחב הפוליטי Pauta libre ושינוי בקו המערכתי של הערוץ, La Red אישרה שפנים מול פנים לא תחזור לאחר 20 שנות שידור.[4] בהמשך, תומאס קוקס הודיע על הגעת התוכנית לערוץ Vive של VTR עם פרק בכורה בכל יום ראשון בשעות הפריים שבוצע ממלוו רנסאנס סנטיאגו.[נדרש ציטוט]

== אורחים ==
חלק מהאורחים הבולטים ביותר:","באיזו שנה שודרה לראשונה התוכנית ""Face to Face"" בטלוויזיה של צ'ילה?",1999,he,1,126,Cara a cara (Chile),https://es.wikipedia.org/wiki/Cara_a_cara_(Chile)
es,"Cara a cara es un programa de televisión chileno conducido por Tomás Cox desde 1999. Entre ese año y octubre de 2020 se emitió por las pantallas de La Red y posteriormente se mudó a Vive de VTR.[1]​Es considerado el programa de conversación más longevo de la televisión chilena.[¿según quién?]== Historia ==En mayo de 1996 el reconocido productor de eventos Tomás Cox inició un programa en La Red llamado La revista y que incluía una entrevista a un personaje reconocido. La sección comenzó a tener cada vez mayor relevancia y en 1999 se convirtió en un programa llamado Cara a cara.[2]​Se trata de una conversación distendida para conocer sobre la trayectoria del invitado y algo más. Sus capítulos eran grabados en el salón de algún hotel del capital, generalmente el Ritz-Carlton y Regal Pacific, y un año en el Palacio Concha. A partir de mayo de 2015 se realizó desde los estudios de La Red en Macul.En 2003 una entrevista a la vedette Tatiana Merino entregó el rating más alto que ha registrado La Red en toda su historia.[3]​ Ese mismo año el programa viajó a Buenos Aires para registrar capítulos con reconocidas figuras trasandinas como Mirtha Legrand, Catherine Fulop y Roberto Giordano.En octubre de 2006 el programa dejó el horario del sábado a la medianoche y emigró al domingo a las 11.30 horas.En marzo de 2020 las grabaciones del programa entraron en una pausa indefinida debido a la llegada del coronavirus. Finalmente, con la creación del espacio político Pauta libre y un cambio en la línea editorial del canal, La Red confirmó que Cara a cara no regresaría después de 20 años al aire.[4]​Más tarde, Tomás Cox anunció la llegada del programa al canal Vive de VTR con un capítulo estreno cada domingo en horario prime y realizado desde el Rennaissance Hotel Santiago.[cita requerida]== Invitados ==Algunos de los invitados más destacados.","En qué año se inició el programa ""Cara a cara"" en la televisión chilena?",1999,"《面对面》是一档智利电视节目，自 1999 年起由托马斯·科克斯主持。从那一年到 2020 年 10 月，它在 La Red 频道播出，随后转到 VTR 的 Vive 频道。[1] 它被认为是智利电视史上运行时间最长的谈话节目。[根据谁的说法？]

== 历史 ==
1996 年 5 月，著名活动制作人托马斯·科克斯在 La Red 频道推出了一档名为 La revista 的节目，其中包括对一位知名人物的采访。该板块开始变得越来越重要，并于 1999 年成为一档名为《面对面》的节目。[2]

这是一场轻松的对话，旨在了解嘉宾的经历和更多信息。节目片段录制在首都某家酒店的会客厅里，通常是丽思卡尔顿酒店和君悦酒店，也有一年是在 Palacio Concha。从 2015 年 5 月开始，节目在 Macul 的 La Red 工作室进行录制。

2003 年，对脱衣舞女郎塔蒂亚娜·梅里诺的采访为 La Red 频道带来了其历史上最高的收视率。[3] 同年，该节目前往布宜诺斯艾利斯，录制了与米尔塔·莱格兰、凯瑟琳·弗洛普和罗伯托·乔达诺等知名跨安第斯山脉人物的节目。

2006 年 10 月，该节目从周六午夜档移至周日上午 11 点 30 分。

2020 年 3 月，由于新冠病毒的到来，该节目的录制无限期暂停。最后，随着政治空间 Pauta libre 的创建以及频道编辑方针的改变，La Red 频道确认《面对面》在播出 20 年后将不会回归。[4]

后来，托马斯·科克斯宣布该节目将在 VTR 的 Vive 频道播出，每周日黄金时段首播，并在圣地亚哥文艺复兴酒店录制。[需要引用]

== 嘉宾 ==
部分最杰出的嘉宾包括：",智利电视节目《面对面》(Cara a cara) 于哪一年开播？,1999 年,zh,1,126,Cara a cara (Chile),https://es.wikipedia.org/wiki/Cara_a_cara_(Chile)
es,"Cara a cara es un programa de televisión chileno conducido por Tomás Cox desde 1999. Entre ese año y octubre de 2020 se emitió por las pantallas de La Red y posteriormente se mudó a Vive de VTR.[1]​Es considerado el programa de conversación más longevo de la televisión chilena.[¿según quién?]== Historia ==En mayo de 1996 el reconocido productor de eventos Tomás Cox inició un programa en La Red llamado La revista y que incluía una entrevista a un personaje reconocido. La sección comenzó a tener cada vez mayor relevancia y en 1999 se convirtió en un programa llamado Cara a cara.[2]​Se trata de una conversación distendida para conocer sobre la trayectoria del invitado y algo más. Sus capítulos eran grabados en el salón de algún hotel del capital, generalmente el Ritz-Carlton y Regal Pacific, y un año en el Palacio Concha. A partir de mayo de 2015 se realizó desde los estudios de La Red en Macul.En 2003 una entrevista a la vedette Tatiana Merino entregó el rating más alto que ha registrado La Red en toda su historia.[3]​ Ese mismo año el programa viajó a Buenos Aires para registrar capítulos con reconocidas figuras trasandinas como Mirtha Legrand, Catherine Fulop y Roberto Giordano.En octubre de 2006 el programa dejó el horario del sábado a la medianoche y emigró al domingo a las 11.30 horas.En marzo de 2020 las grabaciones del programa entraron en una pausa indefinida debido a la llegada del coronavirus. Finalmente, con la creación del espacio político Pauta libre y un cambio en la línea editorial del canal, La Red confirmó que Cara a cara no regresaría después de 20 años al aire.[4]​Más tarde, Tomás Cox anunció la llegada del programa al canal Vive de VTR con un capítulo estreno cada domingo en horario prime y realizado desde el Rennaissance Hotel Santiago.[cita requerida]== Invitados ==Algunos de los invitados más destacados.","En qué año se inició el programa ""Cara a cara"" en la televisión chilena?",1999,"카라 아 카라는 1999년부터 토마스 콕스가 진행하는 칠레 TV 프로그램입니다. 1999년부터 2020년 10월까지는 La Red 채널에서 방영되었고, 이후 VTR의 Vive 채널로 옮겨졌습니다.[1] 이 프로그램은 칠레 TV에서 가장 오래 방영된 대화 프로그램으로 평가됩니다.[출처 필요]== 역사 ==1996년 5월, 유명 이벤트 프로듀서인 토마스 콕스는 La Red 채널에서 La revista라는 프로그램을 시작했는데, 여기에는 유명 인사와의 인터뷰가 포함되어 있었습니다. 이 코너는 점점 더 인기를 얻었고, 1999년에는 카라 아 카라라는 별도의 프로그램으로 분리되었습니다.[2] 이 프로그램은 편안한 분위기에서 게스트의 경력과 그 밖의 내용을 알아보는 대화 프로그램입니다. 녹화는 주로 수도의 호텔 연회장에서 진행되었는데, 대표적으로 리츠칼튼 호텔, 리걸 퍼시픽 호텔, 그리고 한 해는 팔라시오 콘차에서 촬영되었습니다. 2015년 5월부터는 마쿨에 있는 La Red 스튜디오에서 촬영이 진행되었습니다.2003년, 베데트 타티아나 메리노와의 인터뷰는 La Red 채널 역사상 가장 높은 시청률을 기록했습니다.[3] 같은 해, 이 프로그램은 아르헨티나의 부에노스아이레스로 건너가 미르타 레그란, 카테리나 풀롭, 로베르토 조르다노와 같은 유명 인사들과의 인터뷰를 촬영했습니다.2006년 10월, 이 프로그램은 토요일 자정 시간대에서 일요일 오전 11시 30분 시간대로 방영 시간을 변경했습니다.2020년 3월, 코로나바이러스의 유행으로 인해 프로그램 녹화가 무기한 중단되었습니다. 결국, 정치 토크쇼 Pauta libre가 신설되고 채널의 편집 방향이 바뀌면서 La Red는 카라 아 카라가 20년 만에 방영을 종료한다고 발표했습니다.[4] 이후 토마스 콕스는 VTR의 Vive 채널로 프로그램이 옮겨갈 것이며, 매주 일요일 프라임 시간대에 신규 에피소드가 방영될 것이라고 발표했습니다. 촬영지는 르네상스 호텔 산티아고입니다.[출처 필요]== 게스트 ==프로그램에 출연한 주요 게스트는 다음과 같습니다.","칠레 TV에서 ""카라 아 카라"" 프로그램이 시작된 연도는 언제입니까?",1999년,ko,1,126,Cara a cara (Chile),https://es.wikipedia.org/wiki/Cara_a_cara_(Chile)
