question,answer,relation,subject,object,q_index,prompt_id,q_id,target_lang,klar_id
¿Dónde se aplica el término legal Bandera de Canadá?,Canadá,applies_to_jurisdiction,Bandera de Canadá,Canadá,5994,2,5994_2,es,es_5994_2
¿Dónde se aplica el término legal Presidente de Rumania?,Rumania,applies_to_jurisdiction,Presidente de Rumania,Rumania,5995,2,5995_2,es,es_5995_2
¿En qué región es Bandera de los Países Bajos un término legal reconocido?,Países Bajos,applies_to_jurisdiction,Bandera de los Países Bajos,Países Bajos,5996,4,5996_4,es,es_5996_4
¿En qué región es Primer ministro de Malasia un término legal reconocido?,Malasia,applies_to_jurisdiction,Primer ministro de Malasia,Malasia,5997,4,5997_4,es,es_5997_4
¿Qué entidad legal usa Bandera de Jamaica?,Jamaica,applies_to_jurisdiction,Bandera de Jamaica,Jamaica,5998,3,5998_3,es,es_5998_3
¿Qué entidad legal usa bandera de la Argentina?,Argentina,applies_to_jurisdiction,bandera de la Argentina,Argentina,5999,3,5999_3,es,es_5999_3
¿En qué jurisdicción es Bandera de Noruega un término legal?,Noruega,applies_to_jurisdiction,Bandera de Noruega,Noruega,6000,1,6000_1,es,es_6000_1
¿Qué entidad legal usa Congreso de los Diputados?,España,applies_to_jurisdiction,Congreso de los Diputados,España,6001,3,6001_3,es,es_6001_3
¿En qué jurisdicción es Emperador de Japón un término legal?,Japón,applies_to_jurisdiction,Emperador de Japón,Japón,6002,1,6002_1,es,es_6002_1
¿En qué país tiene Bandera de Lituania como término legal?,Lituania,applies_to_jurisdiction,Bandera de Lituania,Lituania,6003,0,6003_0,es,es_6003_0
¿En qué región es Bandera de Bulgaría un término legal reconocido?,Bulgaria,applies_to_jurisdiction,Bandera de Bulgaría,Bulgaria,6004,4,6004_4,es,es_6004_4
¿En qué jurisdicción es Presidente de Irak un término legal?,Irak,applies_to_jurisdiction,Presidente de Irak,Irak,6005,1,6005_1,es,es_6005_1
¿En qué país tiene Bandera de Turquía como término legal?,Turquía,applies_to_jurisdiction,Bandera de Turquía,Turquía,6006,0,6006_0,es,es_6006_0
¿En qué jurisdicción es Bandera de Malasia un término legal?,Malasia,applies_to_jurisdiction,Bandera de Malasia,Malasia,6007,1,6007_1,es,es_6007_1
¿Dónde se aplica el término legal bandera de Bielorrusia?,Bielorrusia,applies_to_jurisdiction,bandera de Bielorrusia,Bielorrusia,6008,2,6008_2,es,es_6008_2
¿En qué país tiene Bandera de Cuba como término legal?,Cuba,applies_to_jurisdiction,Bandera de Cuba,Cuba,6009,0,6009_0,es,es_6009_0
¿En qué jurisdicción es Bandera de Vietnam un término legal?,Vietnam,applies_to_jurisdiction,Bandera de Vietnam,Vietnam,6010,1,6010_1,es,es_6010_1
¿En qué región es Bandera de Bolivia un término legal reconocido?,Bolivia,applies_to_jurisdiction,Bandera de Bolivia,Bolivia,6011,4,6011_4,es,es_6011_4
¿En qué país tiene bandera de la India como término legal?,India,applies_to_jurisdiction,bandera de la India,India,6012,0,6012_0,es,es_6012_0
¿En qué región es pataca macaense un término legal reconocido?,Macao,applies_to_jurisdiction,pataca macaense,Macao,6014,4,6014_4,es,es_6014_4
¿Qué entidad legal usa Bandera de Mónaco?,Mónaco,applies_to_jurisdiction,Bandera de Mónaco,Mónaco,6015,3,6015_3,es,es_6015_3
¿En qué jurisdicción es Bandera de Somalia un término legal?,Somalia,applies_to_jurisdiction,Bandera de Somalia,Somalia,6016,1,6016_1,es,es_6016_1
¿En qué país tiene Presidente de Israel como término legal?,Israel,applies_to_jurisdiction,Presidente de Israel,Israel,6017,0,6017_0,es,es_6017_0
¿En qué región es bandera de Suecia un término legal reconocido?,Suecia,applies_to_jurisdiction,bandera de Suecia,Suecia,6018,4,6018_4,es,es_6018_4
¿Dónde se aplica el término legal Bandera de la República Taiwán?,República de China,applies_to_jurisdiction,Bandera de la República Taiwán,República de China,6019,2,6019_2,es,es_6019_2
¿En qué jurisdicción es Bandera de Australia un término legal?,Australia,applies_to_jurisdiction,Bandera de Australia,Australia,6020,1,6020_1,es,es_6020_1
¿En qué jurisdicción es Bandera de Ucrania un término legal?,Ucrania,applies_to_jurisdiction,Bandera de Ucrania,Ucrania,6021,1,6021_1,es,es_6021_1
¿Dónde se aplica el término legal Presidente de Bielorrusia?,Bielorrusia,applies_to_jurisdiction,Presidente de Bielorrusia,Bielorrusia,6022,2,6022_2,es,es_6022_2
¿En qué jurisdicción es Bandera de Haití un término legal?,Haití,applies_to_jurisdiction,Bandera de Haití,Haití,6023,1,6023_1,es,es_6023_1
¿En qué región es Escudo Nacional de México un término legal reconocido?,México,applies_to_jurisdiction,Escudo Nacional de México,México,6024,4,6024_4,es,es_6024_4
¿En qué región es Bandera de Finlandia un término legal reconocido?,Finlandia,applies_to_jurisdiction,Bandera de Finlandia,Finlandia,6025,4,6025_4,es,es_6025_4
¿Qué entidad legal usa Bandera de Croacia?,Croacia,applies_to_jurisdiction,Bandera de Croacia,Croacia,6026,3,6026_3,es,es_6026_3
¿Qué entidad legal usa presidente de Finlandia?,Finlandia,applies_to_jurisdiction,presidente de Finlandia,Finlandia,6027,3,6027_3,es,es_6027_3
¿En qué jurisdicción es Bandera de Albania un término legal?,Albania,applies_to_jurisdiction,Bandera de Albania,Albania,6028,1,6028_1,es,es_6028_1
¿Qué entidad legal usa Bandera de Italia?,Italia,applies_to_jurisdiction,Bandera de Italia,Italia,6029,3,6029_3,es,es_6029_3
¿Qué entidad legal usa bandera de Alemania?,Alemania,applies_to_jurisdiction,bandera de Alemania,Alemania,6030,3,6030_3,es,es_6030_3
¿En qué país tiene bandera de Libia como término legal?,Libia,applies_to_jurisdiction,bandera de Libia,Libia,6031,0,6031_0,es,es_6031_0
¿En qué región es Bandera de Filipinas un término legal reconocido?,Filipinas,applies_to_jurisdiction,Bandera de Filipinas,Filipinas,6032,4,6032_4,es,es_6032_4
¿En qué jurisdicción es .de un término legal?,Alemania,applies_to_jurisdiction,.de,Alemania,6033,1,6033_1,es,es_6033_1
¿Dónde se aplica el término legal Presidente de Irán?,Irán,applies_to_jurisdiction,Presidente de Irán,Irán,6034,2,6034_2,es,es_6034_2
¿En qué país tiene Bandera de Pakistán como término legal?,Pakistán,applies_to_jurisdiction,Bandera de Pakistán,Pakistán,6035,0,6035_0,es,es_6035_0
¿Dónde se aplica el término legal bandera de Portugal?,Portugal,applies_to_jurisdiction,bandera de Portugal,Portugal,6036,2,6036_2,es,es_6036_2
¿En qué país tiene Bandera de Grecia como término legal?,Grecia,applies_to_jurisdiction,Bandera de Grecia,Grecia,6037,0,6037_0,es,es_6037_0
¿Qué entidad legal usa Bandera de México?,México,applies_to_jurisdiction,Bandera de México,México,6038,3,6038_3,es,es_6038_3
¿Dónde se aplica el término legal bandera de Japón?,Japón,applies_to_jurisdiction,bandera de Japón,Japón,6039,2,6039_2,es,es_6039_2
프랑스의 대통령를 법적 용어로 사용하는 나라는 어디인가요?,프랑스,applies_to_jurisdiction,프랑스의 대통령,프랑스,5960,0,5960_0,ko,ko_5960_0
법적 용어 캐나다의 총리이(가) 적용되는 곳은 어디인가요?,캐나다,applies_to_jurisdiction,캐나다의 총리,캐나다,5961,2,5961_2,ko,ko_5961_2
오스트레일리아 노동당가 법적 용어로 인정받는 지역은 어디인가요?,오스트레일리아,applies_to_jurisdiction,오스트레일리아 노동당,오스트레일리아,5962,4,5962_4,ko,ko_5962_4
멕시코의 대통령가 법적 용어로 인정받는 지역은 어디인가요?,멕시코,applies_to_jurisdiction,멕시코의 대통령,멕시코,5963,4,5963_4,ko,ko_5963_4
독일의 총리가 법적 용어로 사용되는 관할권은 어디인가요?,독일,applies_to_jurisdiction,독일의 총리,독일,5964,1,5964_1,ko,ko_5964_1
법적 용어 독일연방공화국 기본법이(가) 적용되는 곳은 어디인가요?,독일,applies_to_jurisdiction,독일연방공화국 기본법,독일,5965,2,5965_2,ko,ko_5965_2
캐나다 의회를 법적 용어로 사용하는 나라는 어디인가요?,캐나다,applies_to_jurisdiction,캐나다 의회,캐나다,5966,0,5966_0,ko,ko_5966_0
로크 사바를 법적 용어로 사용하는 나라는 어디인가요?,인도,applies_to_jurisdiction,로크 사바,인도,5967,0,5967_0,ko,ko_5967_0
크네셋가 법적 용어로 인정받는 지역은 어디인가요?,이스라엘,applies_to_jurisdiction,크네셋,이스라엘,5968,4,5968_4,ko,ko_5968_4
법적 용어 일본의 내각총리대신이(가) 적용되는 곳은 어디인가요?,일본,applies_to_jurisdiction,일본의 내각총리대신,일본,5969,2,5969_2,ko,ko_5969_2
우아크타런가 법적 용어로 인정받는 지역은 어디인가요?,아일랜드,applies_to_jurisdiction,우아크타런,아일랜드,5970,4,5970_4,ko,ko_5970_4
오스트레일리아 달러가 법적 용어로 사용되는 관할권은 어디인가요?,오스트레일리아,applies_to_jurisdiction,오스트레일리아 달러,오스트레일리아,5971,1,5971_1,ko,ko_5971_1
어떤 법적 단체가 파키스탄의 대통령을(를) 사용합니까?,파키스탄,applies_to_jurisdiction,파키스탄의 대통령,파키스탄,5972,3,5972_3,ko,ko_5972_3
러시아의 대통령를 법적 용어로 사용하는 나라는 어디인가요?,러시아,applies_to_jurisdiction,러시아의 대통령,러시아,5973,0,5973_0,ko,ko_5973_0
어떤 법적 단체가 오스트리아의 총리을(를) 사용합니까?,오스트리아,applies_to_jurisdiction,오스트리아의 총리,오스트리아,5974,3,5974_3,ko,ko_5974_3
스웨덴 의회를 법적 용어로 사용하는 나라는 어디인가요?,스웨덴,applies_to_jurisdiction,스웨덴 의회,스웨덴,5975,0,5975_0,ko,ko_5975_0
스페인의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,스페인,applies_to_jurisdiction,스페인의 국기,스페인,5976,1,5976_1,ko,ko_5976_1
어떤 법적 단체가 프랑스의 국기을(를) 사용합니까?,프랑스,applies_to_jurisdiction,프랑스의 국기,프랑스,5977,3,5977_3,ko,ko_5977_3
법적 용어 우크라이나의 대통령이(가) 적용되는 곳은 어디인가요?,우크라이나,applies_to_jurisdiction,우크라이나의 대통령,우크라이나,5978,2,5978_2,ko,ko_5978_2
어떤 법적 단체가 프랑스의 총리을(를) 사용합니까?,프랑스,applies_to_jurisdiction,프랑스의 총리,프랑스,5979,3,5979_3,ko,ko_5979_3
어떤 법적 단체가 덴마크의 국기을(를) 사용합니까?,덴마크,applies_to_jurisdiction,덴마크의 국기,덴마크,5980,3,5980_3,ko,ko_5980_3
독일 연방의회를 법적 용어로 사용하는 나라는 어디인가요?,독일,applies_to_jurisdiction,독일 연방의회,독일,5981,0,5981_0,ko,ko_5981_0
아일랜드의 국기를 법적 용어로 사용하는 나라는 어디인가요?,아일랜드,applies_to_jurisdiction,아일랜드의 국기,아일랜드,5982,0,5982_0,ko,ko_5982_0
어떤 법적 단체가 오스트리아의 대통령을(를) 사용합니까?,오스트리아,applies_to_jurisdiction,오스트리아의 대통령,오스트리아,5983,3,5983_3,ko,ko_5983_3
어떤 법적 단체가 파키스탄의 총리을(를) 사용합니까?,파키스탄,applies_to_jurisdiction,파키스탄의 총리,파키스탄,5984,3,5984_3,ko,ko_5984_3
독일의 대통령가 법적 용어로 인정받는 지역은 어디인가요?,독일,applies_to_jurisdiction,독일의 대통령,독일,5985,4,5985_4,ko,ko_5985_4
스웨덴의 총리를 법적 용어로 사용하는 나라는 어디인가요?,스웨덴,applies_to_jurisdiction,스웨덴의 총리,스웨덴,5986,0,5986_0,ko,ko_5986_0
프랑스 국민의회가 법적 용어로 인정받는 지역은 어디인가요?,프랑스,applies_to_jurisdiction,프랑스 국민의회,프랑스,5987,4,5987_4,ko,ko_5987_4
어떤 법적 단체가 스위스의 국기을(를) 사용합니까?,스위스,applies_to_jurisdiction,스위스의 국기,스위스,5988,3,5988_3,ko,ko_5988_3
어떤 법적 단체가 러시아의 총리을(를) 사용합니까?,러시아,applies_to_jurisdiction,러시아의 총리,러시아,5989,3,5989_3,ko,ko_5989_3
어떤 법적 단체가 싱가포르의 국기을(를) 사용합니까?,싱가포르,applies_to_jurisdiction,싱가포르의 국기,싱가포르,5990,3,5990_3,ko,ko_5990_3
법적 용어 프랑스 상원이(가) 적용되는 곳은 어디인가요?,프랑스,applies_to_jurisdiction,프랑스 상원,프랑스,5991,2,5991_2,ko,ko_5991_2
어떤 법적 단체가 우크라이나의 총리을(를) 사용합니까?,우크라이나,applies_to_jurisdiction,우크라이나의 총리,우크라이나,5992,3,5992_3,ko,ko_5992_3
러시아의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,러시아,applies_to_jurisdiction,러시아의 국기,러시아,5993,1,5993_1,ko,ko_5993_1
법적 용어 캐나다의 국기이(가) 적용되는 곳은 어디인가요?,캐나다,applies_to_jurisdiction,캐나다의 국기,캐나다,5994,2,5994_2,ko,ko_5994_2
법적 용어 루마니아의 대통령이(가) 적용되는 곳은 어디인가요?,루마니아,applies_to_jurisdiction,루마니아의 대통령,루마니아,5995,2,5995_2,ko,ko_5995_2
네덜란드의 국기가 법적 용어로 인정받는 지역은 어디인가요?,네덜란드,applies_to_jurisdiction,네덜란드의 국기,네덜란드,5996,4,5996_4,ko,ko_5996_4
말레이시아의 총리가 법적 용어로 인정받는 지역은 어디인가요?,말레이시아,applies_to_jurisdiction,말레이시아의 총리,말레이시아,5997,4,5997_4,ko,ko_5997_4
어떤 법적 단체가 자메이카의 국기을(를) 사용합니까?,자메이카,applies_to_jurisdiction,자메이카의 국기,자메이카,5998,3,5998_3,ko,ko_5998_3
어떤 법적 단체가 아르헨티나의 국기을(를) 사용합니까?,아르헨티나,applies_to_jurisdiction,아르헨티나의 국기,아르헨티나,5999,3,5999_3,ko,ko_5999_3
노르웨이의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,노르웨이,applies_to_jurisdiction,노르웨이의 국기,노르웨이,6000,1,6000_1,ko,ko_6000_1
어떤 법적 단체가 스페인 하원을(를) 사용합니까?,스페인,applies_to_jurisdiction,스페인 하원,스페인,6001,3,6001_3,ko,ko_6001_3
일본 천황가 법적 용어로 사용되는 관할권은 어디인가요?,일본,applies_to_jurisdiction,일본 천황,일본,6002,1,6002_1,ko,ko_6002_1
리투아니아의 국기를 법적 용어로 사용하는 나라는 어디인가요?,리투아니아,applies_to_jurisdiction,리투아니아의 국기,리투아니아,6003,0,6003_0,ko,ko_6003_0
불가리아의 국기가 법적 용어로 인정받는 지역은 어디인가요?,불가리아,applies_to_jurisdiction,불가리아의 국기,불가리아,6004,4,6004_4,ko,ko_6004_4
이라크의 대통령가 법적 용어로 사용되는 관할권은 어디인가요?,이라크,applies_to_jurisdiction,이라크의 대통령,이라크,6005,1,6005_1,ko,ko_6005_1
터키의 국기를 법적 용어로 사용하는 나라는 어디인가요?,터키,applies_to_jurisdiction,터키의 국기,터키,6006,0,6006_0,ko,ko_6006_0
말레이시아의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,말레이시아,applies_to_jurisdiction,말레이시아의 국기,말레이시아,6007,1,6007_1,ko,ko_6007_1
법적 용어 벨라루스의 국기이(가) 적용되는 곳은 어디인가요?,벨라루스,applies_to_jurisdiction,벨라루스의 국기,벨라루스,6008,2,6008_2,ko,ko_6008_2
쿠바의 국기를 법적 용어로 사용하는 나라는 어디인가요?,쿠바,applies_to_jurisdiction,쿠바의 국기,쿠바,6009,0,6009_0,ko,ko_6009_0
베트남의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,베트남,applies_to_jurisdiction,베트남의 국기,베트남,6010,1,6010_1,ko,ko_6010_1
볼리비아의 국기가 법적 용어로 인정받는 지역은 어디인가요?,볼리비아,applies_to_jurisdiction,볼리비아의 국기,볼리비아,6011,4,6011_4,ko,ko_6011_4
인도의 국기를 법적 용어로 사용하는 나라는 어디인가요?,인도,applies_to_jurisdiction,인도의 국기,인도,6012,0,6012_0,ko,ko_6012_0
마카오 파타카가 법적 용어로 인정받는 지역은 어디인가요?,마카오,applies_to_jurisdiction,마카오 파타카,마카오,6014,4,6014_4,ko,ko_6014_4
어떤 법적 단체가 모나코의 국기을(를) 사용합니까?,모나코,applies_to_jurisdiction,모나코의 국기,모나코,6015,3,6015_3,ko,ko_6015_3
소말리아의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,소말리아,applies_to_jurisdiction,소말리아의 국기,소말리아,6016,1,6016_1,ko,ko_6016_1
이스라엘의 대통령를 법적 용어로 사용하는 나라는 어디인가요?,이스라엘,applies_to_jurisdiction,이스라엘의 대통령,이스라엘,6017,0,6017_0,ko,ko_6017_0
스웨덴의 국기가 법적 용어로 인정받는 지역은 어디인가요?,스웨덴,applies_to_jurisdiction,스웨덴의 국기,스웨덴,6018,4,6018_4,ko,ko_6018_4
법적 용어 중화민국의 국기이(가) 적용되는 곳은 어디인가요?,중화민국,applies_to_jurisdiction,중화민국의 국기,중화민국,6019,2,6019_2,ko,ko_6019_2
오스트레일리아의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,오스트레일리아,applies_to_jurisdiction,오스트레일리아의 국기,오스트레일리아,6020,1,6020_1,ko,ko_6020_1
우크라이나의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,우크라이나,applies_to_jurisdiction,우크라이나의 국기,우크라이나,6021,1,6021_1,ko,ko_6021_1
법적 용어 벨라루스의 대통령이(가) 적용되는 곳은 어디인가요?,벨라루스,applies_to_jurisdiction,벨라루스의 대통령,벨라루스,6022,2,6022_2,ko,ko_6022_2
아이티의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,아이티,applies_to_jurisdiction,아이티의 국기,아이티,6023,1,6023_1,ko,ko_6023_1
멕시코의 국장가 법적 용어로 인정받는 지역은 어디인가요?,멕시코,applies_to_jurisdiction,멕시코의 국장,멕시코,6024,4,6024_4,ko,ko_6024_4
핀란드의 국기가 법적 용어로 인정받는 지역은 어디인가요?,핀란드,applies_to_jurisdiction,핀란드의 국기,핀란드,6025,4,6025_4,ko,ko_6025_4
어떤 법적 단체가 크로아티아의 국기을(를) 사용합니까?,크로아티아,applies_to_jurisdiction,크로아티아의 국기,크로아티아,6026,3,6026_3,ko,ko_6026_3
어떤 법적 단체가 핀란드의 대통령을(를) 사용합니까?,핀란드,applies_to_jurisdiction,핀란드의 대통령,핀란드,6027,3,6027_3,ko,ko_6027_3
알바니아의 국기가 법적 용어로 사용되는 관할권은 어디인가요?,알바니아,applies_to_jurisdiction,알바니아의 국기,알바니아,6028,1,6028_1,ko,ko_6028_1
어떤 법적 단체가 이탈리아의 국기을(를) 사용합니까?,이탈리아,applies_to_jurisdiction,이탈리아의 국기,이탈리아,6029,3,6029_3,ko,ko_6029_3
어떤 법적 단체가 독일의 국기을(를) 사용합니까?,독일,applies_to_jurisdiction,독일의 국기,독일,6030,3,6030_3,ko,ko_6030_3
리비아의 국기를 법적 용어로 사용하는 나라는 어디인가요?,리비아,applies_to_jurisdiction,리비아의 국기,리비아,6031,0,6031_0,ko,ko_6031_0
필리핀의 국기가 법적 용어로 인정받는 지역은 어디인가요?,필리핀,applies_to_jurisdiction,필리핀의 국기,필리핀,6032,4,6032_4,ko,ko_6032_4
.de가 법적 용어로 사용되는 관할권은 어디인가요?,독일,applies_to_jurisdiction,.de,독일,6033,1,6033_1,ko,ko_6033_1
법적 용어 이란의 대통령이(가) 적용되는 곳은 어디인가요?,이란,applies_to_jurisdiction,이란의 대통령,이란,6034,2,6034_2,ko,ko_6034_2
파키스탄의 국기를 법적 용어로 사용하는 나라는 어디인가요?,파키스탄,applies_to_jurisdiction,파키스탄의 국기,파키스탄,6035,0,6035_0,ko,ko_6035_0
법적 용어 포르투갈의 국기이(가) 적용되는 곳은 어디인가요?,포르투갈,applies_to_jurisdiction,포르투갈의 국기,포르투갈,6036,2,6036_2,ko,ko_6036_2
그리스의 국기를 법적 용어로 사용하는 나라는 어디인가요?,그리스,applies_to_jurisdiction,그리스의 국기,그리스,6037,0,6037_0,ko,ko_6037_0
어떤 법적 단체가 멕시코의 국기을(를) 사용합니까?,멕시코,applies_to_jurisdiction,멕시코의 국기,멕시코,6038,3,6038_3,ko,ko_6038_3
법적 용어 일본의 국기이(가) 적용되는 곳은 어디인가요?,일본,applies_to_jurisdiction,일본의 국기,일본,6039,2,6039_2,ko,ko_6039_2
איזה מדינה יש לה נשיא צרפת כמונח משפטי?,צרפת,applies_to_jurisdiction,נשיא צרפת,צרפת,5960,0,5960_0,he,he_5960_0
איפה המונח המשפטי ראש ממשלת קנדה מיושם?,קנדה,applies_to_jurisdiction,ראש ממשלת קנדה,קנדה,5961,2,5961_2,he,he_5961_2
באיזו אזור מפלגת הלייבור האוסטרלית הוא מונח משפטי מוכר?,אוסטרליה,applies_to_jurisdiction,מפלגת הלייבור האוסטרלית,אוסטרליה,5962,4,5962_4,he,he_5962_4
באיזו אזור נשיא מקסיקו הוא מונח משפטי מוכר?,מקסיקו,applies_to_jurisdiction,נשיא מקסיקו,מקסיקו,5963,4,5963_4,he,he_5963_4
באיזו סמכות קנצלר גרמניה הוא מונח משפטי?,גרמניה,applies_to_jurisdiction,קנצלר גרמניה,גרמניה,5964,1,5964_1,he,he_5964_1
איפה המונח המשפטי חוקת גרמניה מיושם?,גרמניה,applies_to_jurisdiction,חוקת גרמניה,גרמניה,5965,2,5965_2,he,he_5965_2
איזה מדינה יש לה הפרלמנט של קנדה כמונח משפטי?,קנדה,applies_to_jurisdiction,הפרלמנט של קנדה,קנדה,5966,0,5966_0,he,he_5966_0
איזה מדינה יש לה לוק סבהה כמונח משפטי?,הודו,applies_to_jurisdiction,לוק סבהה,הודו,5967,0,5967_0,he,he_5967_0
באיזו אזור הכנסת הוא מונח משפטי מוכר?,ישראל,applies_to_jurisdiction,הכנסת,ישראל,5968,4,5968_4,he,he_5968_4
איפה המונח המשפטי ראש ממשלת יפן מיושם?,יפן,applies_to_jurisdiction,ראש ממשלת יפן,יפן,5969,2,5969_2,he,he_5969_2
באיזו אזור נשיא אירלנד הוא מונח משפטי מוכר?,אירלנד,applies_to_jurisdiction,נשיא אירלנד,אירלנד,5970,4,5970_4,he,he_5970_4
באיזו סמכות דולר אוסטרלי הוא מונח משפטי?,אוסטרליה,applies_to_jurisdiction,דולר אוסטרלי,אוסטרליה,5971,1,5971_1,he,he_5971_1
איזה גוף משפטי משתמש בנשיא פקיסטן?,פקיסטן,applies_to_jurisdiction,נשיא פקיסטן,פקיסטן,5972,3,5972_3,he,he_5972_3
איזה מדינה יש לה נשיא רוסיה כמונח משפטי?,רוסיה,applies_to_jurisdiction,נשיא רוסיה,רוסיה,5973,0,5973_0,he,he_5973_0
