q_id,language,keywords
42,ko,플러드 모델러 소프트웨어의 원래 이름은 무엇입니까? isis
42,pt,era nome original software flood modeller isis
46,en,what religious practice did magars follow animism shamanism
46,fr,quelle pratique religieuse magars suivaient ils animisme chamanisme
46,he,איזה מנהג דתי קיימו המגרים אנימיזם ושמאניזם
46,zh,马加尔 人 信奉 什么 宗教 万物 有灵论 和 萨满教
46,de,welche religiöse praxis befolgten magars animismus schamanismus
46,es,prácticas religiosas seguían magares animismo chamanismo
46,hi,मेगर लोग किस धार्मिक रीति रिवाज का पालन करते थे जीववाद जादू टोना
46,id,praktik keagamaan apa dianut oleh orang magar animisme perdukunan
46,it,quali pratiche religiose seguivano magar animismo sciamanesimo
46,ja,マガル 族 が 従っ て い た 宗教的 実践 は 何 でし か アニミズム と シャーマン 教
46,ko,마가르족이 따르던 종교적 관습은 무엇입니까? 애니미즘과 주술
46,pt,prática religiosa seguiam magars animismo xamanismo
57,en,what does lowest part espiritu santo formation consist siltstone sandstone shale
57,fr,quoi est constituée partie plus basse formation d espiritu santo siltstone grès schiste
57,he,ממה מורכב החלק התחתון של תצורת אספיריטו סנטו אבן בוץ חול ופצלים
57,zh,圣灵 组 最 下部 由 什么 组成 粉 砂岩 和 页岩 espiritu santo formation
57,de,was ist unterste teil espiritu santo formation siltstein sandstein schiefer
57,es,está compuesta parte más inferior formación espíritu santo limolita arenisca esquisto
57,hi,एस्पिरिटु सैंटो फ़ॉर्मेशन का सबसे निचला हिस्सा किससे बना है गाद बलुआ पत्थर शेल
57,id,bagian paling bawah formasi espiritu santo terdiri apa batulumpur batupasir serpih
57,it,cosa è costituita parte più inferiore formazione espiritu santo siltite arenaria scisto
57,ja,エスピリトゥ ・ サント 累層 の 最 下部 は 何 で 構成 さ れ て い ます か シルト 岩 砂岩 頁岩
57,ko,"에스피리투 산토 구조의 가장 아래쪽 부분은 무엇으로 구성되어 있습니까? 실트암, 사암, 셰일"
57,pt,consiste parte inferior formação espiritu santo siltito arenito xisto
66,en,year toronto edition ming pao daily news launched 1993
66,fr,quelle année édition torontoise ming pao daily news a t elle été lancée 1993
66,he,באיזו שנה שודרה לראשונה מהדורת טורונטו של בשנת ming pao daily news 1993
66,zh,多伦多 版 明报 是 在 哪一年 创办 的 年 1993
66,de,jahr wurde toronto ausgabe ming pao daily news ins leben gerufen 1993
66,es,año se lanzó edición toronto ming pao daily news 1993
66,hi,टोरंटो मिंग पाओ डेली न्यूज़ किस साल लॉन्च किया गया 1993
66,id,tahun berapakah ming pao daily news edisi toronto diluncurkan 1993
66,it,anno è stata lanciata l edizione toronto ming pao daily news 1993
66,ja,明報 の トロント 版 が 創刊 さ れ た は 何 年 です か 1993
66,ko,토론토 판 명보일보가 창간된 년도는 언제입니까? 1993년 1993
66,pt,ano foi lançada edição toronto ming pao daily news 1993
31,en,what year nih merit award first created 1986
31,fr,quelle année prix merit nih a t il été créé pour première fois 1986
31,he,באיזו שנה הוכרז לראשונה על פרס nih merit 1986
31,zh,美国 国家卫生研究院 优秀 研究 人才 奖是 在 哪一年 设立 的 年 1986
31,de,jahr wurde nih merit award erstmals verliehen 1986
31,es,año se creó por primera vez premio merit nih 1986
31,hi,एनआईएच मेरिट अवॉर्ड पहली बार किस साल शुरू किया गया 1986
31,id,pada tahun berapakah penghargaan nih merit pertama kali diciptakan 1986
31,it,anno è stato istituito per prima volta premio nih merit 1986
31,ja,賞 が 最初 に 創設 さ れ た の は 何 年 です か nih merit 1986
31,ko,상은 언제 처음 제정되었습니까? 1986년 nih merit 1986
31,pt,ano prêmio nih merit foi criado pela primeira vez 1986
45,en,what name military base established vedder crossing area 1941 cfb chilliwack
45,fr,était nom base militaire établie région vedder crossing 1941 bfc chilliwack
45,he,מה היה שמו של הבסיס הצבאי שהוקם באזור מעבר וודר בשנת יליוואק 1941 cfb
45,zh,年 在 维 德尔 路口 地区 建立 的 军事基地 叫 什么 名字 奇利 瓦克 加拿大 部队 基地 1941 vedder crossing cfb chilliwack
45,de,wie hieß 1941 gebiet vedder crossing errichtete militärstützpunkt cfb chilliwack
45,es,cuál era nombre base militar establecida área vedder crossing 1941 cfb chilliwack
45,hi,साल वेडर क्रॉसिंग एरिया कौनसा सैनिक अड्डा बनाया गया सीएफबी चिलीवैक 1941
45,id,apa nama pangkalan militer didirikan daerah vedder crossing pada tahun 1941 cfb chilliwack
45,it,qual era nome base militare istituita nell area vedder crossing nel 1941 cfb chilliwack
45,ja,年 に ヴェダー ・ クロッシング 地域 設立 さ れ た 軍事 基地 の 名前 は 何 です か チリワックカナダ 軍 1941
45,ko,1941년 베더 크로싱 지역에 설립된 군사 기지의 이름은 무엇입니까? 칠리<binary 1941 cfb binary data 1 bytes
45,pt,era nome base militar estabelecida na área vedder crossing 1941 cfb chilliwack
60,en,1999 new zealand general election party did helen clark lead victory labour
60,fr,élections générales néo zélandaises 1999 parti helen clark a t elle mené à victoire travailliste
60,he,בבחירות הכלליות של בניו זילנד איזו מפלגה הובילה הלן קלארק לניצחון מפלגת הלייבור 1999
60,zh,在 年 新西兰 大选 中 海伦 克拉克 领导 哪个 政党 取得 了 胜利 工党 1999 helen clark
60,de,welche partei führte helen clark bei den parlamentswahlen neuseeland 1999 zum sieg labour party
60,es,elecciones generales nueva zelanda 1999 a partido llevó helen clark victoria laborista
60,hi,न्यूज़ीलैंड हुए आम चुनाव हेलेन क्लार्क की अगुवाई किस पार्टी को जीत मिली लेबर 1999
60,id,dalam pemilihan umum selandia baru tahun 1999 partai apa dipimpin helen clark meraih kemenangan buruh
60,it,nelle elezioni generali 1999 nuova zelanda partito ha condotto alla vittoria helen clark laburista
60,ja,年 の ニュージーランド 総選挙 で ヘレン ・ クラーク は どの 政党 を 勝利 に 導い た でしょう か 労働 党 1999
60,ko,1999년 뉴질랜드 총선에서 헬렌 클라크가 승리로 이끈 정당은 무엇입니까? 노동당 1999
60,pt,na eleição geral 1999 nova zelândia partido helen clark liderou à vitória trabalhista
29,en,what kind systems does international road dynamics provide ensure that vehicles depart terminals within acceptable weight limits weigh motion wim
29,fr,type systèmes international road dynamics fournit il pour s assurer que véhicules quittent terminaux limites poids acceptables pesage mouvement wim
29,he,אילו מערכות של מאפשרות להבטיח שכלי רכב יצאו ליעדם במשקל המותר שקילה בתנועה international road dynamics wim
29,zh,国际 道路 动力学 公司 提供 何种 系统 以 确保 车辆 离开 货运站 时 的 重量 在 可 接受 范围 内 动态 称重 international road dynamics wim
29,de,welche art von systemen bietet international road dynamics an um sicherzustellen dass fahrzeuge terminals innerhalb zulässigen gewichtsgrenzen verlassen weigh motion systeme wim
29,es,tipo sistemas proporciona international road dynamics para asegurarse vehículos salgan terminales dentro límites peso aceptables pesaje movimiento wim
29,hi,पक्का करने के लिए कौनसे सिस्टम मुहैया कराता है कि टर्मिनल से तय सीमा वज़न ढोने वाले वाहन ही गुज़र पाएं वेट इन मोशन international road dynamics wim
29,id,jenis sistem apa disediakan international road dynamics untuk memastikan bahwa kendaraan berangkat terminal dalam batas berat dapat diterima penimbangan gerakan wim
29,it,quali tipi sistemi fornisce international road dynamics per garantire veicoli lascino terminal entro limiti peso accettabili pesatura movimento wim
29,ja,インターナショナル ・ ロード ダイナミクス 社 は ターミナル を 出発 する 車両 が 許容 重量 超え て い ない こと 確認 ため に どのような 種類 の システム 提供 し ます か 走行 測定 wim
29,ko,국제 로드 다이내믹스는 차량이 허용 중량 한도 내에서 터미널을 떠나는지 확인하기 위해 어떤 종류의 시스템을 제공합니까? 동적 계중(wim) 시스템 wim
29,pt,tipo sistemas international road dynamics fornece para garantir veículos saem terminais dentro limites peso aceitáveis pesagem movimento wim
67,en,what artistic swimming previously known as synchronized
67,fr,comment s appelait auparavant natation artistique synchronisée
67,he,באיזה שם נודעה בעבר השחייה הצורנית שחייה מסונכרנת
67,zh,花样游泳 以前 被 称为 什么 同步 游泳
67,de,wie wurde kunstturnen früher genannt synchronschwimmen
67,es,cómo se llamaba anteriormente natación artística nado sincronizado
67,hi,कलात्मक तैराकी को पहले क्या कहा जाता सिंक्रोनाइज़्ड स्विमिंग
67,id,apa sebutan lain untuk renang indah sebelumnya sinkron
67,it,come era precedentemente noto nuoto artistico sincronizzato
67,ja,アーティスティックスイミング は 以前 何 と 呼ば れ て い まし た か シンクロナイズドスイミング
67,ko,아티스틱 스위밍은 이전에 어떤 명칭으로 알려졌습니까? 싱크로나이즈드 스위밍
67,pt,como era anteriormente conhecida natação artística nado sincronizado
36,en,year did great canadian flag debate officially begin 1964
36,fr,quelle année grand débat sur drapeau canadien a t il officiellement commencé 1964
36,he,באילו שנה החל באופן רשמי הוויכוח הגדול על דגל קנדה 1964
36,zh,加拿大 国旗 大辩论 正式 开始 于 哪一年 年 1964
36,de,jahr begann große kanadische flaggendiskussion offiziell 1964
36,es,año comenzó oficialmente gran debate sobre bandera canadiense 1964
36,hi,ग्रेट कनेडियन फ़्लैग डिबेट आधिकारिक तौर पर किस साल शुरू हुआ 1964
36,id,pada tahun berapakah debat besar bendera kanada secara resmi dimulai 1964
36,it,anno iniziò ufficialmente great flag debate dibattito sulla bandiera canadese 1964
36,ja,カナダ 国旗 論争 が 正式 に 始まっ た の は 何 年 です か 1964
36,ko,캐나다 국기 논쟁이 공식적으로 시작된 해는 언제입니까? 1964년 1964
36,pt,ano começou oficialmente grande debate bandeira canadiana 1964
59,en,year did whitehaven school become academy 2014
59,fr,quelle année whitehaven school est elle devenue academy 2014
59,he,באיזו שנה בית הספר ווייטהייבן הפך לאקדמיית 2014
59,zh,白港 学校 是 在 哪一年 更名 为 学院 的 年 whitehaven school academy 2014
59,de,jahr wurde whitehaven school zur academy 2014
59,es,año se convirtió escuela whitehaven academia 2014
59,hi,व्हाइटहेवन स्कूल किस साल अकैडमी बन गया 2014
59,id,tahun berapa whitehaven school menjadi academy 2014
59,it,anno scuola whitehaven è diventata l accademia 2014
59,ja,ホワイト ヘブン ・ スクール が アカデミー に なっ た の は 何 年 です か 2014
59,ko,화이트헤이븐 스쿨이 아카데미가 된 해는 언제입니까? 2014년 2014
59,pt,ano escola whitehaven se tornou academia 2014
38,en,when uniform residential landlord tenant act created 1972
38,fr,quand loi uniform residential landlord and tenant act a t elle été créée 1972
38,he,מתי נוצר החוק האחיד לשכירות ולהשכרה למגורים 1972
38,zh,美国 统一 住宅 租赁 法 是 什么 时候 制定 的 年 1972
38,de,wann wurde uniform residential landlord and tenant act ausgearbeitet 1972
38,es,cuándo se creó ley uniforme residencial arrendadores e inquilinos 1972
38,hi,यूनिफ़ॉर्म रेज़िडेंशियल लैंडलॉर्ड ऐंड टेनेंट ऐक्ट कब लाया गया 1972
38,id,kapan uniform residential landlord and tenant act dibuat 1972
38,it,quando è stato creato l uniform residential landlord and tenant act 1972
38,ja,統一 住宅 用 賃貸人 と 借主 法 は いつ 制定 さ れ まし た か 年 1972
38,ko,균일 주거용 임대인 및 임차인 법은 언제 제정되었습니까? 1972년 1972
38,pt,quando foi criada lei uniforme locação residencial uniform residential landlord and tenant act 1972
37,en,who first female mayor turkey müfide i lhan
37,fr,qui était première femme maire turquie müfide i lhan
37,he,מי הייתה ראשת העיר הראשונה בטורקיה מופידה אילהן
37,zh,谁 是 土耳其 第一位 女 市长 穆菲德 伊尔汗
37,de,wer war erste bürgermeisterin türkei müfide i lhan
37,es,quién fue primera alcaldesa turquía müfide i lhan
37,hi,तुर्किये की पहली महिला मेयर कौन थीं मुफिदे इल्हान
37,id,siapa nama walikota perempuan pertama turkiye müfide i lhan
37,it,chi è stata prima donna sindaco turchia müfide lhan
37,ja,トルコ で 初 の 女性 市長 は 誰 です か ミュフィデ ・ イルハン
37,ko,튀르키예 최초 여성 시장은 누구였습니까? 뮈피데 일한
37,pt,quem foi primeira presidente câmara na turquia müfide i lhan
44,en,what specific purpose bulk material analyzer located just upstream raw mill cement production monitor mix chemistry adjust proportions materials used
44,fr,était objectif spécifique d analyseur matériaux vrac situé juste amont broyeur à cru production ciment surveiller composition chimique mélange brut ajuster proportions utilisés
44,he,מה הייתה המטרה הספציפית של מנתח חומרי גלם שהותקן בכיוון הזרימה מתקן העיבוד בתהליך ייצור המלט לנטר את הכימיה התערובת הגולמית ולהתאים הפרופורציות החומרים המשמשים
44,zh,散装 物料 分析仪 安装 在 水泥 生产 中 生料 磨机 上游 的 具体 目的 是 什么 监测 化学成分 并 调整 所用 配比
44,de,was war spezifische zweck eines schüttgutanalysators unmittelbar vor rohmühle zementproduktion platziert chemische zusammensetzung des rohmehls überwachen anteile verwendeten materialien anzupassen
44,es,cuál era propósito específico analizador material a granel ubicado justo antes molino crudo producción cemento monitorear química mezcla cruda ajustar proporciones materiales utilizados
44,hi,सीमेंट बनाने के दौरान कच्चा माल मिलाने वाली मशीन ठीक ऊपर बल्क मटेरियल एनालाइज़र क्यों रखा जाता है कच्चे मिश्रण रसायन विज्ञान की निगरानी करना उपयोग जाने सामग्रियों अनुपात को समायोजित
44,id,apa tujuan khusus penganalisis material curah terletak tepat hulu penggilingan bahan baku dalam produksi semen untuk memantau kimia campuran menyesuaikan proporsi digunakan
44,it,qual era lo scopo specifico analizzatore materiale sfuso posizionato appena a monte mulino per materie prime nella produzione cemento monitorare composizione chimica miscela grezza regolare proporzioni dei materiali utilizzati
44,ja,セメント 製造 に おい て 原料 粉砕機 の 上流 設置 さ れ た バルク 材料 分析 装置 具体的 な 目的 は 配合 化学 組成 を 監視 し 使用 れる 比率 調整 する こと
44,ko,시멘트 생산에서 원재료 분쇄기 바로 상류에 위치한 벌크 재료 분석기의 구체적인 목적은 무엇입니까? 화학 조성을 모니터링하고 사용된 재료의 비율을 조정하기 위함입니다.
44,pt,era objetivo específico analisador material granel localizado imediatamente montante moinho matéria prima na produção cimento monitorar química mistura bruta ajustar proporções materiais utilizados
65,en,what year greg brown s album one more goodnight kiss released 1988
65,fr,quelle année est sorti album one more goodnight kiss greg brown 1988
65,he,באיזו שנה יצא האלבום של גרג בראון one more goodnight kiss 1988
65,zh,格雷格 布朗 的 专辑 再 吻 一夜情 是 在 哪一年 发行 年 greg brown one more goodnight kiss 1988
65,de,jahr wurde greg browns album letzter gute nacht kuss veröffentlicht 1988
65,es,año se lanzó álbum one more goodnight kiss greg brown 1988
65,hi,ग्रेग ब्राउन का एल्बम वन मोर गुडनाइट किस साल रिलीज़ हुआ 1988
65,id,pada tahun berapa album greg brown berjudul one more goodnight kiss dirilis 1988
65,it,anno è stato pubblicato l album greg brown altro bacio buonanotte 1988
65,ja,グレッグ ・ ブラウン の アルバム もう ひと つ グッドナイト キス が リリース さ れ た は 何 年 です か 1988
65,ko,그렉 브라운의 앨범 원 모어 굿나잇 키스는 몇 년도에 발매되었습니까? 1988년 1988
65,pt,ano foi lançado álbum one more goodnight kiss greg brown 1988
35,en,what name nellie mckay s record label when pretty little head released hungry mouse
35,fr,était nom label nellie mckay lorsque pretty little head est sorti hungry mouse
35,he,מה היה שם הלייבל של נלי מקיי כאשר יצא האלבום pretty little head hungry mouse
35,zh,美丽 小 脑袋 发行 时 娜丽 麦凯 的 唱片 公司 叫 什么 名字 pretty little head nellie mckay hungry mouse
35,de,wie hieß nellie mckays plattenlabel als pretty little head veröffentlicht wurde hungry mouse
35,es,cuál era nombre sello discográfico nellie mckay cuando se lanzó pretty little head hungry mouse
35,hi,जब प्रिटी लिटिल हेड रिलीज़ हुआ उस समय नेली मैके के रिकॉर्ड लेबल का क्या नाम हंग्री माउस
35,id,apa nama label rekaman nellie mckay saat pretty little head dirilis hungry mouse
35,it,qual era nome dell etichetta discografica nellie mckay quando è stato pubblicato pretty little head hungry mouse
35,ja,プリティ ・ リトル ヘッド が リリース さ れ た とき ネリー マッケイ の レコード レーベル 名前 は 何 でし か ハングリー マウス
35,ko,프리티 리틀 헤드가 발매되었을 때 넬리 맥케이의 레이블 이름은 무엇이었습니까? 헝그리 마우스
35,pt,era nome editora nellie mckay quando pretty little head foi lançado hungry mouse
51,en,how long does rector università cattolica del sacro cuore remain office four years
51,fr,pendant combien temps recteur università cattolica del sacro cuore reste t il fonction quatre ans
51,he,כמה זמן נשאר רקטור בתפקידו ארבע שנים universit cattolica del sacro cuore
51,zh,圣心 天主教 大学 的 校长 任期 是 多久 四年
51,de,wie lange bleibt rektor università cattolica del sacro cuore amt vier jahre
51,es,cuánto tiempo permanece cargo rector università cattolica sacro cuore cuatro años
51,hi,यूनिवर्सिटा कैटोलिका डेल सैक्रो क्यूरोर कोई व्यक्ति रेक्टर के पद पर कितने समय तक रह सकता है चार साल
51,id,berapa lama seorang rektor università cattolica del sacro cuore menjabat empat tahun
51,it,per quanto tempo magnifico rettore dell università cattolica sacro cuore rimane carica quattro anni
51,ja,カトリック大学 の 学長 任期 は 年 4
51,ko,카톨리카 델 사크로 쿠오레 대학교 총장의 임기는 얼마입니까? 4년 4
51,pt,por quantos anos reitor università cattolica del sacro cuore permanece no cargo quatro
41,en,what name conference campbell university s women basketball team played from 1994 2011 trans american athletic taac
41,fr,quelle conférence équipe féminine basket ball université campbell a t elle évolué 1994 à 2011 trans american athletic conference taac
41,he,באיזה קונפרנס שיחקה קבוצת כדורסל הנשים של אוניברסיטת קמפבל בשנים עד כנס האתלטיקה הטראנס אמריקאי 1994 2011 taac
41,zh,坎贝尔 大学 女子 篮球队 从 年 到 参加 了 哪个 联盟 的 比赛 泛美 田径 1994 2011 taac
41,de,welcher conference spielte frauenbasketballmannschaft campbell university von 1994 bis 2011 trans american athletic taac
41,es,conferencia jugó equipo baloncesto femenino universidad campbell desde 1994 hasta 2011 trans american athletic conference taac
41,hi,कैंपबेल यूनिवर्सिटी की महिला बास्केटबॉल टीम से तक किस कॉन्फ्रेंस खेली थी ट्रांस अमेरिकन एथलेटिक 1994 2011 taac
41,id,apa nama konferensi tempat tim bola basket wanita campbell university bermain tahun 1994 hingga 2011 trans american athletic conference taac
41,it,qual era nome conference cui giocava squadra basket femminile campbell university dal 1994 al 2011 trans american athletic taac
41,ja,キャンベル 大学 の 女子 バスケットボール チーム が 年 から まで プレー し て い た カンファレンス 名称 は 何 です か トランス アメリカン アスレチック 1994 2011 taac
41,ko,캠벨 대학교 여자 농구팀이 1994년부터 2011년까지 경기를 했던 컨퍼런스의 이름은 무엇입니까? 트랜스 아메리칸 애슬레틱 컨퍼런스 1994 2011 taac
41,pt,conferência jogou equipa feminina basquetebol campbell university entre 1994 2011 trans american athletic conference taac
61,en,what name album that song s love for released on heart motion
61,fr,est nom album sur lequel chanson that s what love is for sortie heart in motion
61,he,מהו שם האלבום שבו נכלל השיר that s what love is for heart in motion
61,zh,歌曲 这 就是 爱 的 意义 收录 在 哪张 专辑 中 律动 真心 that s what love is for
61,de,wie heißt album auf dem song that s what love is for veröffentlicht wurde heart motion
61,es,cuál es nombre álbum se lanzó canción that s what love is for heart in motion
61,hi,दैट्स व्हाट लव इज़ फ़ॉर गाना किस एल्बम का है हार्ट इन मोशन
61,id,apa nama album merilis lagu that s what love is for heart in motion
61,it,qual è nome dell album cui stata pubblicata canzone that s what love is for heart motion
61,ja,ザッツ ・ ホワット ラブ イズ フォー が リリース さ れ た アルバム の 名前 は ハート イン モーション
61,ko,"for""라는 곡이 수록된 앨범의 이름은 무엇인가요? that s what love is for heart in motion"
61,pt,é nome álbum música that s what love is for foi lançada heart in motion
47,en,when men s javelin throw event held at 2010 asian games 26 november
47,fr,quand épreuve masculine lancer javelot a t elle eu lieu jeux asiatiques 2010 26 novembre
47,he,מתי נערכה תחרות הטלת הכידון לגברים במשחקי אסיה בנובמבר 2010 26
47,zh,年 亚洲 运动会 男子 标枪 比赛 是 什么 时候 举行 的 月 日 2010 11 26
47,de,wann fand speerwurf wettbewerb männer bei den asienspielen 2010 statt 26 november
47,es,cuándo se llevó a cabo evento lanzamiento jabalina masculino juegos asiáticos 2010 26 noviembre
47,hi,साल के एशियाई खेलों पुरुषों की भाला फेंक प्रतियोगिता कब आयोजित गई थी नवंबर 2010 26
47,id,kapan nomor lempar lembing putra diselenggarakan pada asian games 2010 26 november
47,it,quando si è svolta gara lancio giavellotto maschile ai giochi asiatici 2010 26 novembre
47,ja,年 アジア 競技 大会 の 男子 やり投 は いつ 開催 さ れ まし た か 月 日 2010 11 26
47,ko,2010년 아시안 게임 남자 창던지기 종목은 언제 개최되었습니까? 11월 26일 2010 11 26
47,pt,quando foi realizado evento lançamento dardo masculino nos jogos asiáticos 2010 26 novembro
32,en,on date david nail s album fighter released july 15 2016
32,fr,à quelle date album fighter david nail est il sorti 15 juillet 2016
32,he,באיזה תאריך יצא האלבום של דיוויד נייל ביולי fighter 15 2016
32,zh,大卫 奈尔 的 专辑 战士 是 在 哪一天 发行 年 月 日 david nail fighter 2016 7 15
32,de,an datum wurde david nails album fighter veröffentlicht 15 juli 2016
32,es,fecha se lanzó álbum fighter david nail 15 julio 2016
32,hi,डेविड नेल का एल्बम फ़ाइटर किस तारीख को रिलीज़ हुआ जुलाई 15 2016
32,id,pada tanggal berapa album david nail fighter dirilis 15 juli 2016
32,it,data è stato pubblicato l album fighter david nail 15 luglio 2016
32,ja,デヴィッド ・ ネイル の アルバム ファイター 発売日 は 年 月 日 2016 7 15
32,ko,"데이비드 네일의 앨범 ""파이터""가 발매된 날짜는 언제인가요? 2016년 7월 15일 2016 7 15"
32,pt,data foi lançado álbum fighter david nail 15 julho 2016
