Unnamed: 0,sourceMDD>targetMDD,is_q_topic_history,is_q_topic_tech,is_q_type_date_time,correct_target
182,True,False,False,True,False
183,True,False,False,False,False
184,True,True,False,True,True
185,True,False,False,False,False
186,True,False,False,False,False
187,True,False,False,False,False
188,True,False,False,False,False
189,True,True,False,False,False
190,True,False,False,False,False
191,True,True,False,False,True
192,True,False,False,False,False
193,False,False,False,False,True
194,True,False,False,False,False
195,True,False,False,False,True
196,True,True,False,False,False
197,True,False,False,False,False
198,False,False,False,True,True
199,True,False,False,False,False
200,True,False,False,False,False
201,True,False,False,False,False
202,False,False,False,False,False
203,True,False,False,False,False
204,True,True,False,True,True
205,True,False,False,True,False
206,True,True,False,False,False
207,True,False,False,False,True
208,False,False,False,False,False
209,True,False,False,False,True
210,True,True,False,True,True
211,True,True,False,True,False
212,True,False,False,True,True
213,True,False,False,False,True
214,True,False,False,False,True
215,True,False,False,True,True
216,True,True,False,False,False
217,True,False,False,False,True
218,True,False,False,False,False
219,True,False,False,False,True
220,True,False,False,False,True
221,True,False,False,True,False
222,True,False,False,False,True
223,True,True,False,True,False
224,True,False,False,False,False
225,True,False,False,False,False
226,True,False,False,False,False
227,True,False,False,False,False
228,False,True,False,False,False
229,True,False,False,False,False
230,True,True,False,False,True
231,False,False,False,False,False
232,True,False,False,False,True
233,True,False,False,False,False
234,True,False,False,False,True
235,True,True,False,False,False
236,True,False,False,False,False
237,True,False,False,True,False
238,True,False,False,False,True
239,True,False,False,False,False
240,True,False,False,False,True
241,False,False,False,False,False
242,True,False,False,False,False
243,True,True,False,True,True
244,False,False,False,True,True
245,True,True,False,False,False
246,True,False,False,False,True
247,False,False,False,False,True
248,True,False,False,False,False
249,True,True,False,True,True
250,True,True,False,True,False
251,True,False,False,True,True
252,True,False,False,False,True
253,True,False,False,False,False
254,False,False,False,True,True
255,True,True,False,False,False
256,True,False,False,False,True
257,True,False,False,False,True
258,True,False,False,False,False
259,True,False,False,False,True
260,True,False,False,True,True
261,True,False,False,False,True
262,True,True,False,True,False
263,True,False,False,False,False
264,False,False,False,False,True
265,True,False,False,False,True
266,True,False,False,False,False
267,False,True,False,False,False
268,True,False,False,False,False
269,True,True,False,False,True
270,True,False,False,False,True
271,False,False,False,False,True
272,True,False,False,False,True
273,True,False,False,False,True
274,False,True,False,False,False
275,True,False,False,False,False
276,True,False,False,True,False
277,True,False,False,False,False
278,True,False,False,False,False
279,True,False,False,False,True
280,True,False,False,False,False
281,True,False,False,False,False
282,True,True,False,True,True
283,False,False,False,True,True
284,True,True,False,False,False
285,False,False,False,False,True
286,True,False,False,False,True
287,True,False,False,False,True
288,True,True,False,True,True
289,True,True,False,True,False
290,True,False,False,True,True
291,False,False,False,False,True
292,False,False,False,False,True
293,True,False,False,True,False
294,True,True,False,False,False
295,True,False,False,False,True
296,True,False,False,False,False
297,True,False,False,False,False
298,True,False,False,False,True
299,True,False,False,True,True
300,False,False,False,False,True
301,True,True,False,True,False
302,True,False,False,False,False
303,True,False,False,False,True
304,True,False,False,False,True
305,False,False,False,False,True
306,False,True,False,False,False
307,True,False,False,False,False
308,True,True,False,False,True
309,True,False,False,False,False
310,False,False,False,False,True
311,True,False,False,False,True
312,False,False,False,False,True
313,True,True,False,False,False
314,True,False,False,False,True
315,True,False,False,True,False
316,True,False,False,False,True
317,True,False,False,False,False
318,True,False,False,False,True
319,False,False,False,False,True
320,True,False,False,False,False
321,True,True,False,True,True
322,True,False,False,True,True
323,True,True,False,False,True
324,True,False,False,False,True
325,False,False,False,False,True
326,False,False,False,False,True
327,True,True,False,True,True
328,True,True,False,True,False
329,True,False,False,True,True
330,True,False,False,False,False
331,True,False,False,False,True
332,True,False,False,True,False
333,True,True,False,False,True
334,True,False,False,False,False
335,True,False,False,False,False
336,True,False,False,False,True
337,True,False,False,False,True
338,True,False,False,True,True
339,True,False,False,False,True
340,False,True,False,True,False
341,True,False,False,False,False
342,False,False,False,False,True
343,False,False,False,False,True
344,True,False,False,False,False
345,False,True,False,False,False
346,True,False,False,False,False
347,True,True,False,False,False
348,True,False,False,False,False
349,False,False,False,False,True
350,True,False,False,False,False
351,True,False,False,False,True
352,True,True,False,False,False
353,True,False,False,False,False
354,True,False,False,True,False
355,True,False,False,False,False
356,True,False,False,False,False
357,True,False,False,False,True
358,True,False,False,False,False
359,True,False,False,False,False
360,True,True,False,True,True
361,True,False,False,True,True
362,True,True,False,False,False
363,True,False,False,False,True
364,True,False,False,False,False
365,True,False,False,False,True
366,True,True,False,True,False
367,True,True,False,True,False
368,True,False,False,True,True
369,True,False,False,False,False
370,True,False,False,False,True
371,True,False,False,True,True
372,True,True,False,False,False
373,True,False,False,False,False
374,True,False,False,False,False
375,True,False,False,False,True
376,True,False,False,False,True
377,True,False,False,True,True
378,True,False,False,False,True
379,True,True,False,True,False
380,True,False,False,False,False
381,True,False,False,False,False
382,True,False,False,False,True
383,True,False,False,False,False
384,True,True,False,False,False
385,True,False,False,False,False
386,True,True,False,False,False
387,True,False,False,False,False
388,True,False,False,False,True
389,True,False,False,False,False
390,False,False,False,False,True
391,True,True,False,False,False
392,True,False,False,False,False
393,True,False,False,True,True
394,True,False,False,False,False
395,True,False,False,False,False
396,True,False,False,False,True
397,True,False,False,False,False
398,True,False,False,False,False
399,True,True,False,True,True
400,True,False,False,True,True
401,True,True,False,False,False
402,True,False,False,False,True
403,False,False,False,False,True
404,True,False,False,False,True
405,True,True,False,True,True
406,True,True,False,True,False
407,True,False,False,True,True
408,False,False,False,False,True
409,True,False,False,False,True
410,True,False,False,True,True
411,True,True,False,False,False
412,True,False,False,False,True
413,True,False,False,False,False
414,True,False,False,False,False
415,True,False,False,False,True
416,True,False,False,True,True
417,False,False,False,False,True
418,True,True,False,True,False
419,True,False,False,False,False
420,False,False,False,False,True
421,True,False,False,False,False
422,False,False,False,False,False
423,False,True,False,False,False
424,True,False,False,False,False
425,True,True,False,False,True
426,True,False,False,False,True
427,False,False,False,False,True
428,True,False,False,False,True
429,False,False,False,False,True
430,True,True,False,False,False
431,True,False,False,False,False
432,True,False,False,True,False
433,True,False,False,False,False
434,True,False,False,False,False
435,True,False,False,False,True
436,True,False,False,False,False
437,True,False,False,False,False
438,True,True,False,True,True
439,False,False,False,True,False
440,True,True,False,False,True
441,False,False,False,False,True
442,False,False,False,False,True
443,True,False,False,False,False
444,True,True,False,True,True
445,False,True,False,True,False
446,True,False,False,True,True
447,False,False,False,False,True
448,False,False,False,False,True
449,False,False,False,True,True
450,True,True,False,False,True
451,True,False,False,False,True
452,True,False,False,False,True
453,True,False,False,False,True
454,True,False,False,False,True
455,False,False,False,True,True
456,True,False,False,False,False
457,False,True,False,True,False
458,True,False,False,False,False
459,False,False,False,False,False
460,False,False,False,False,False
461,True,False,False,False,False
462,False,True,False,False,False
463,True,False,False,False,False
464,True,True,False,False,True
465,True,False,False,False,False
466,False,False,False,False,True
467,True,False,False,False,True
