original_lang,original_content,original_question,original_answer,content,question,answer,language,translated,q_id,title,url,avg_dep_depth,max_tree_depth,num_clauses
en,"The term bulk material analyzer is the generic noun for that device which fits around a conveyor belt and conducts real-time elemental analysis of the material on the belt.  Other names often found for such a device include belt analyzer, crossbelt analyzer and elemental analyzer. This product first found popularity in the cement industry during the 1990s, and today most new cement plants include at least one analyzer, if not two.== Cement industry ==A couple of applications predominate for the bulk material analyzer in cement production.=== Stockpile management ===One is known as ""stockpile management,"" whereby an analyzer located upstream of the pile is able to track the cumulative chemistry of the pile.  This allows the operator to direct haul trucks to different sections of the quarry in a way that will result in the final elemental composition of the pile close to target.=== Raw mix proportioning ===A second application in cement for the bulk material analyzer is raw mix proportioning.  An analyzer placed just upstream of the raw mill can monitor the chemistry of the raw mix and automatically trigger an adjustment in the proportions of the reclaimed stockpile and the correctives.  By doing so, the plant is able to reduce the variability in the raw mix, and later on the kiln feed.  Consistent kiln feed chemistry in turn leads to lower fuel consumption per ton of clinker produced.",What was the specific purpose of a bulk material analyzer located just upstream of the raw mill in cement production?,To monitor raw mix chemistry and adjust the proportions of materials used,"The term bulk material analyzer is the generic noun for that device which fits around a conveyor belt and conducts real-time elemental analysis of the material on the belt.  Other names often found for such a device include belt analyzer, crossbelt analyzer and elemental analyzer. This product first found popularity in the cement industry during the 1990s, and today most new cement plants include at least one analyzer, if not two.== Cement industry ==A couple of applications predominate for the bulk material analyzer in cement production.=== Stockpile management ===One is known as ""stockpile management,"" whereby an analyzer located upstream of the pile is able to track the cumulative chemistry of the pile.  This allows the operator to direct haul trucks to different sections of the quarry in a way that will result in the final elemental composition of the pile close to target.=== Raw mix proportioning ===A second application in cement for the bulk material analyzer is raw mix proportioning.  An analyzer placed just upstream of the raw mill can monitor the chemistry of the raw mix and automatically trigger an adjustment in the proportions of the reclaimed stockpile and the correctives.  By doing so, the plant is able to reduce the variability in the raw mix, and later on the kiln feed.  Consistent kiln feed chemistry in turn leads to lower fuel consumption per ton of clinker produced.",What was the specific purpose of a bulk material analyzer located just upstream of the raw mill in cement production?,To monitor raw mix chemistry and adjust the proportions of materials used,en,0,44,Bulk material analyzer,https://en.wikipedia.org/wiki/Bulk_material_analyzer,3.6666666666666665,7,1
en,"One More Goodnight Kiss is an album by American folk musician Greg Brown, released in 1988. This release contains one of Brown's more well-known songs, ""Canned Goods"", a song dedicated to his grandmother.== Reception ==Writing for Allmusic, music critic Vik Iyengar called the album ""Singer/songwriter Greg Brown delivers his first classic on his fourth studio album, One More Goodnight Kiss, where he uses a keen observer's eye and his acoustic guitar to conjure up vivid images from his idyllic childhood... This is a great introduction to his early catalog and the birth of an important contemporary folk artist.""== Track listing ==All song by Greg Brown.",In what year was Greg Brown's album One More Goodnight Kiss released?,1988,"One More Goodnight Kiss is an album by American folk musician Greg Brown, released in 1988. This release contains one of Brown's more well-known songs, ""Canned Goods"", a song dedicated to his grandmother.== Reception ==Writing for Allmusic, music critic Vik Iyengar called the album ""Singer/songwriter Greg Brown delivers his first classic on his fourth studio album, One More Goodnight Kiss, where he uses a keen observer's eye and his acoustic guitar to conjure up vivid images from his idyllic childhood... This is a great introduction to his early catalog and the birth of an important contemporary folk artist.""== Track listing ==All song by Greg Brown.",In what year was Greg Brown's album One More Goodnight Kiss released?,1988,en,0,65,One More Goodnight Kiss,https://en.wikipedia.org/wiki/One_More_Goodnight_Kiss,1.8571428571428572,3,0
en,"Pretty Little Head is the second album by singer Nellie McKay. It was released October 31, 2006, on Nellie's own Hungry Mouse label. It features duets with Cyndi Lauper (""Beecharmer"") and k.d. lang (""We Had It Right""). Other songs include ""Columbia Is Bleeding"", ""Cupcake"" (""...about gay marriage...""), and ""The Big One"" (""...about a tenant's rights activist..."").Pretty Little Head was originally set to be released October 18, 2005. The release date was subsequently delayed until December 27, 2005 and finally January 3, 2006.However, McKay announced on December 19, 2005, that she had left Columbia/Sony Records after a dispute over the length of the upcoming album. Just over two weeks following this announcement, a New York Times article surfaced stating McKay said she had been dropped by Columbia Records.The album was being marketed and manufactured on the SpinArt Records label until the label's bankruptcy in 2007.",What was the name of Nellie McKay's record label when Pretty Little Head was released?,Hungry Mouse,"Pretty Little Head is the second album by singer Nellie McKay. It was released October 31, 2006, on Nellie's own Hungry Mouse label. It features duets with Cyndi Lauper (""Beecharmer"") and k.d. lang (""We Had It Right""). Other songs include ""Columbia Is Bleeding"", ""Cupcake"" (""...about gay marriage...""), and ""The Big One"" (""...about a tenant's rights activist..."").Pretty Little Head was originally set to be released October 18, 2005. The release date was subsequently delayed until December 27, 2005 and finally January 3, 2006.However, McKay announced on December 19, 2005, that she had left Columbia/Sony Records after a dispute over the length of the upcoming album. Just over two weeks following this announcement, a New York Times article surfaced stating McKay said she had been dropped by Columbia Records.The album was being marketed and manufactured on the SpinArt Records label until the label's bankruptcy in 2007.",What was the name of Nellie McKay's record label when Pretty Little Head was released?,Hungry Mouse,en,0,35,Pretty Little Head,https://en.wikipedia.org/wiki/Pretty_Little_Head,2.176470588235294,4,1
en,"The Rector of Università Cattolica del Sacro Cuore (Italian: Magnifico Rettore, commonly known just as the Rettore) is the highest academic authority of the university.The Rector legally represents the University, convenes and chairs the Board of Directors, the Executive Committee, the Academic Senate of the University and the Advisory Board of the Agostino Gemelli University Polyclinic. The rector may appoint one or more Vice Rectors to whom he can delegate the exercise of certain functions. Rectors remain in office for four years and can be re-elected for no more than two consecutive terms.== History ==Università Cattolica del Sacro Cuore was inaugurated on 7th of December 1921 and began operations with two faculties: Philosophy and Social Sciences. Agostino Gemelli was the rector of Cattolica until his death, widely teaching through the School of Law, Political Sciences, Humanities, Business and Economics in the Milan campus and at the School of Agriculture, in Piacenza.Upon the death of Francesco Vito, Ezio Franceschini was elected as the third rector (1965-1968) and had to face the rise of student protests in 1968. Some professors found his pursuit of dialogue with the protesting students inadequate and, taking advantage of his poor health, replaced him in the rectory with Giuseppe Lazzati, which followed a line of more decisive break with the demands for renewal.Lorenzo Ornaghi has been serving as the Italy's Minister of Culture in the Monti cabinet since 16 November 2011. After the appointment of Professor Lorenzo Ornaghi as minister, all the powers and functions belonging to the office of rector were entrusted to the vicar vice chancellor, prof.",How long does a Rector of Università Cattolica del Sacro Cuore remain in office?,Four years,"The Rector of Università Cattolica del Sacro Cuore (Italian: Magnifico Rettore, commonly known just as the Rettore) is the highest academic authority of the university.The Rector legally represents the University, convenes and chairs the Board of Directors, the Executive Committee, the Academic Senate of the University and the Advisory Board of the Agostino Gemelli University Polyclinic. The rector may appoint one or more Vice Rectors to whom he can delegate the exercise of certain functions. Rectors remain in office for four years and can be re-elected for no more than two consecutive terms.== History ==Università Cattolica del Sacro Cuore was inaugurated on 7th of December 1921 and began operations with two faculties: Philosophy and Social Sciences. Agostino Gemelli was the rector of Cattolica until his death, widely teaching through the School of Law, Political Sciences, Humanities, Business and Economics in the Milan campus and at the School of Agriculture, in Piacenza.Upon the death of Francesco Vito, Ezio Franceschini was elected as the third rector (1965-1968) and had to face the rise of student protests in 1968. Some professors found his pursuit of dialogue with the protesting students inadequate and, taking advantage of his poor health, replaced him in the rectory with Giuseppe Lazzati, which followed a line of more decisive break with the demands for renewal.Lorenzo Ornaghi has been serving as the Italy's Minister of Culture in the Monti cabinet since 16 November 2011. After the appointment of Professor Lorenzo Ornaghi as minister, all the powers and functions belonging to the office of rector were entrusted to the vicar vice chancellor, prof.",How long does a Rector of Università Cattolica del Sacro Cuore remain in office?,Four years,en,0,51,Rector of Università Cattolica del Sacro Cuore,https://en.wikipedia.org/wiki/Rector_of_Università_Cattolica_del_Sacro_Cuore,1.9333333333333333,4,0
en,"The Campbell Fighting Camels women's basketball team is the women's basketball team that represent the Campbell University in Buies Creek, North Carolina. The school's team currently competes in the Coastal Athletic Association (CAA), having moved from the Big South Conference in 2023.== History ==Campbell began varsity play in 1972. They played in the NAIA from 1972 to 1986 before joining Division I in 1986. In their time in NAIA, they made the NCAIAW Division II Tournament once (1982 and the NAIA District 26 Playoffs/Tournament (1983–1986, with a losses in the District 26 title game in 1985 to Pembroke State and 1986 to Wingate). They have played in the Big South Conference since 2011, after playing in the Trans American Athletic Conference (now known as the Atlantic Sun Conference) from 1994 to 2011. In their time in the TAAC/A-Sun, they won a tournament title in 2000 and a regular season title in 2001. In their time in the Big South, they have won the regular season title in 1989, 1991 along with a tournament title in 1989. They have finished as Tournament Runner-up in 1986, 1987, 1990, 1991, and 1992. As of the end of the 2015–16 season, the Camels have a combined overall record of 642–507, with a 187–122 NAIA record and a 465–396 NCAA record.",What was the name of the conference Campbell University's women's basketball team played in from 1994 to 2011?,Trans American Athletic Conference (TAAC),"The Campbell Fighting Camels women's basketball team is the women's basketball team that represent the Campbell University in Buies Creek, North Carolina. The school's team currently competes in the Coastal Athletic Association (CAA), having moved from the Big South Conference in 2023.== History ==Campbell began varsity play in 1972. They played in the NAIA from 1972 to 1986 before joining Division I in 1986. In their time in NAIA, they made the NCAIAW Division II Tournament once (1982 and the NAIA District 26 Playoffs/Tournament (1983–1986, with a losses in the District 26 title game in 1985 to Pembroke State and 1986 to Wingate). They have played in the Big South Conference since 2011, after playing in the Trans American Athletic Conference (now known as the Atlantic Sun Conference) from 1994 to 2011. In their time in the TAAC/A-Sun, they won a tournament title in 2000 and a regular season title in 2001. In their time in the Big South, they have won the regular season title in 1989, 1991 along with a tournament title in 1989. They have finished as Tournament Runner-up in 1986, 1987, 1990, 1991, and 1992. As of the end of the 2015–16 season, the Camels have a combined overall record of 642–507, with a 187–122 NAIA record and a 465–396 NCAA record.",What was the name of the conference Campbell University's women's basketball team played in from 1994 to 2011?,Trans American Athletic Conference (TAAC),en,0,41,Campbell Fighting Camels women's basketball,https://en.wikipedia.org/wiki/Campbell_Fighting_Camels_women's_basketball,2.238095238095238,4,0
en,"""That's What Love Is For"" is a song by Christian music/pop music-crossover singer Amy Grant. It was written by three-time Grammy-Award winner Michael Omartian, Mark Mueller and Amy Grant and produced by Omartian. It was the third Billboard Hot 100 Top 10 pop single  from her 5× platinum-selling album Heart in Motion  and the only one from the album to be released to both Pop and Christian radio.The song topped Billboard Adult Contemporary chart and was No. 1 for three weeks, starting the week of November 29, 1991. It spent a total of 13 weeks in the Top 10 and 32 weeks on the chart overall. The song peaked at No. 7 on the Billboard Hot 100 the week of November 23, 1991  and ultimately spent four weeks in the Top 10. It finished the 1992 Billboard Year-End Hot 100 Singles chart ranked at No. 91.","What is the name of the album that the song ""That's What Love Is For"" was released on?",Heart in Motion,"""That's What Love Is For"" is a song by Christian music/pop music-crossover singer Amy Grant. It was written by three-time Grammy-Award winner Michael Omartian, Mark Mueller and Amy Grant and produced by Omartian. It was the third Billboard Hot 100 Top 10 pop single  from her 5× platinum-selling album Heart in Motion  and the only one from the album to be released to both Pop and Christian radio.The song topped Billboard Adult Contemporary chart and was No. 1 for three weeks, starting the week of November 29, 1991. It spent a total of 13 weeks in the Top 10 and 32 weeks on the chart overall. The song peaked at No. 7 on the Billboard Hot 100 the week of November 23, 1991  and ultimately spent four weeks in the Top 10. It finished the 1992 Billboard Year-End Hot 100 Singles chart ranked at No. 91.","What is the name of the album that the song ""That's What Love Is For"" was released on?",Heart in Motion,en,0,61,That's What Love Is For,https://en.wikipedia.org/wiki/That's_What_Love_Is_For,2.4545454545454546,4,0
en,"The men's javelin throw event at the 2010 Asian Games was held at the Aoti Main Stadium, Guangzhou, China on 26 November 2010.== Schedule ==All times are China Standard Time (UTC+08:00)== Records ==Prior to this competition, the existing world, Asian and Games records were as follows.",When was the men's javelin throw event held at the 2010 Asian Games?,26 November 2010,"The men's javelin throw event at the 2010 Asian Games was held at the Aoti Main Stadium, Guangzhou, China on 26 November 2010.== Schedule ==All times are China Standard Time (UTC+08:00)== Records ==Prior to this competition, the existing world, Asian and Games records were as follows.",When was the men's javelin throw event held at the 2010 Asian Games?,26 November 2010,en,0,47,Athletics at the 2010 Asian Games – Men's javelin throw,https://en.wikipedia.org/wiki/Athletics_at_the_2010_Asian_Games_–_Men's_javelin_throw,2.142857142857143,4,1
en,"Fighter is the fourth studio album by American country music artist David Nail. It was released on July 15, 2016, via MCA Nashville. It includes the singles ""Night's on Fire"" and ""Good at Tonight"", a duet with Brothers Osborne.== Track listing ==== Reception ==The album debuted on Billboard 200 at No. 26 on its release, as well as No. 3 on the Top Country Albums, selling 12,200 copies in its first week.  It has sold 20,100 copies in the US as of September 2016.","On which date was David Nail's album ""Fighter"" released?","July 15, 2016","Fighter is the fourth studio album by American country music artist David Nail. It was released on July 15, 2016, via MCA Nashville. It includes the singles ""Night's on Fire"" and ""Good at Tonight"", a duet with Brothers Osborne.== Track listing ==== Reception ==The album debuted on Billboard 200 at No. 26 on its release, as well as No. 3 on the Top Country Albums, selling 12,200 copies in its first week.  It has sold 20,100 copies in the US as of September 2016.","On which date was David Nail's album ""Fighter"" released?","July 15, 2016",en,0,32,Fighter (David Nail album),https://en.wikipedia.org/wiki/Fighter_(David_Nail_album),2.3846153846153846,4,1
en,"The right of access, also referred to as right to access and (data) subject access, is one of the most fundamental rights in data protection laws around the world. For instance, the United States, Singapore, Brazil, and countries in Europe have all developed laws that regulate access to personal data as privacy protection. The European Union states that: ""The right of access occupies a central role in EU data protection law's arsenal of data subject empowerment measures."" This right is often implemented as a Subject Access Request (SAR) or Data Subject Access Request (DSAR).== United Nations ==The aspirational Sustainable Development Goal 16, target 9, calls for the provision of legal identity for all human beings. ""In the digital economy, this becomes the right to a digital identity."" Such an identity could help in filing subject access requests.== Brazil ==Brazil's General Data Protection Law (LGPD) is its first comprehensive data protection regulation. According to LGPD, subject access requests need to be fulfilled within 15 days.== European Union ==The right of access is enshrined as part of the fundamental right to data protection in the  Charter of Fundamental Rights of the European Union. It is in fact the only one of the practical rights relating to personal data that is listed there.In the GDPR, this right is defined in various sections of Article 15.",Which data protection regulation in Brazil requires subject access requests to be fulfilled within a specific time frame?,General Data Protection Law (LGPD),"The right of access, also referred to as right to access and (data) subject access, is one of the most fundamental rights in data protection laws around the world. For instance, the United States, Singapore, Brazil, and countries in Europe have all developed laws that regulate access to personal data as privacy protection. The European Union states that: ""The right of access occupies a central role in EU data protection law's arsenal of data subject empowerment measures."" This right is often implemented as a Subject Access Request (SAR) or Data Subject Access Request (DSAR).== United Nations ==The aspirational Sustainable Development Goal 16, target 9, calls for the provision of legal identity for all human beings. ""In the digital economy, this becomes the right to a digital identity."" Such an identity could help in filing subject access requests.== Brazil ==Brazil's General Data Protection Law (LGPD) is its first comprehensive data protection regulation. According to LGPD, subject access requests need to be fulfilled within 15 days.== European Union ==The right of access is enshrined as part of the fundamental right to data protection in the  Charter of Fundamental Rights of the European Union. It is in fact the only one of the practical rights relating to personal data that is listed there.In the GDPR, this right is defined in various sections of Article 15.",Which data protection regulation in Brazil requires subject access requests to be fulfilled within a specific time frame?,General Data Protection Law (LGPD),en,0,62,Right of access to personal data,https://en.wikipedia.org/wiki/Right_of_access_to_personal_data,2.473684210526316,4,1
en,"Rancocas Farm was an American thoroughbred horse racing stud farm and racing stable located on Monmouth Road (County Road 537) in the Jobstown section of Springfield Township, Burlington County,  New Jersey.== Pierre Lorillard IV ==The farm was founded in the 1870s by the wealthy tobacco manufacturer Pierre Lorillard IV (1833-1901) who had a home in the town of Rancocas, now a part of Westampton Township, New Jersey. Lorillard built his stable into one of the premier thoroughbred breeding and training operations in the United States. Lorillard bred Parole, one of the three greatest runners of the 1870s.  In 1881, Lorillard's horse Iroquois became the first American-owned and -bred horse to win a European classic race. Ridden by the champion English jockey, Fred Archer, Iroquois won The Derby then went on to also capture the St. Leger Stakes.== Lily A. Livingston ==On the death of Pierre Lorillard, Rancocas Stable was inherited by Sarah ""Lily"" Barnes-Allien-Livingston. She sold it in 1919 to Kansas oil industrialist Harry F. Sinclair and moved to Canada where she set up her own breeding and racing operation that would see her inducted into the Canadian Horse Racing Hall of Fame in 2011.== Harry Ford Sinclair ==Harry Sinclair would invest considerable funds to continue the Rancocas breeding and racing success, making it one of the dominant racing stables in the United States during the 1920s.",In which decade did Harry F. Sinclair purchase Rancocas Stable?,1910s,"Rancocas Farm was an American thoroughbred horse racing stud farm and racing stable located on Monmouth Road (County Road 537) in the Jobstown section of Springfield Township, Burlington County,  New Jersey.== Pierre Lorillard IV ==The farm was founded in the 1870s by the wealthy tobacco manufacturer Pierre Lorillard IV (1833-1901) who had a home in the town of Rancocas, now a part of Westampton Township, New Jersey. Lorillard built his stable into one of the premier thoroughbred breeding and training operations in the United States. Lorillard bred Parole, one of the three greatest runners of the 1870s.  In 1881, Lorillard's horse Iroquois became the first American-owned and -bred horse to win a European classic race. Ridden by the champion English jockey, Fred Archer, Iroquois won The Derby then went on to also capture the St. Leger Stakes.== Lily A. Livingston ==On the death of Pierre Lorillard, Rancocas Stable was inherited by Sarah ""Lily"" Barnes-Allien-Livingston. She sold it in 1919 to Kansas oil industrialist Harry F. Sinclair and moved to Canada where she set up her own breeding and racing operation that would see her inducted into the Canadian Horse Racing Hall of Fame in 2011.== Harry Ford Sinclair ==Harry Sinclair would invest considerable funds to continue the Rancocas breeding and racing success, making it one of the dominant racing stables in the United States during the 1920s.",In which decade did Harry F. Sinclair purchase Rancocas Stable?,1910s,en,0,64,Rancocas Farm,https://en.wikipedia.org/wiki/Rancocas_Farm,1.3636363636363635,2,0
en,"Keys to the Kingdom is the sixth studio album by American band North Mississippi Allstars. It was released in 2011 through Songs of the South Records. It features contributions from Mavis Staples, Alvin Youngblood Hart, Spooner Oldham, Gordie Johnson, Ry Cooder, Jim Spake and Jack Ashford. The album peaked at number 175 on the US Current Album Sales, number 46 on the Top Rock Albums, number two on the Top Blues Albums, number 27 on the Independent Albums, number four on the Heatseekers Albums and number 14 on the Tastemakers.== Critical reception ==Keys to the Kingdom was met with generally favorable reviews from music critics. At Metacritic, which assigns a normalized rating out of 100 to reviews from mainstream publications, the album received an average score of 68, based on six reviews.Doug Collette of All About Jazz found out that the album ""hearkens back to The North Mississippi Allstars earliest and rootsiest records, but nevertheless represents a marked advance in maturity"". AllMusic's Thom Jurek wrote that it ""may have been recorded in response to death and birth but it is, more than anything else, a celebration of all that Jim Dickinson held dear in life and music, which are, after all, the same thing"". Katie Chow of American Songwriter resumed: ""Keys to the Kingdom is both a tribute to and a continuation of the Dickinson musical tradition"". David Fricke of Rolling Stone wrote: ""deep roots, improvising valor and live-Cream brawn come easily to this trio.",Who contributed to the album Keys to the Kingdom by North Mississippi Allstars?,"Mavis Staples, Alvin Youngblood Hart, Spooner Oldham, Gordie Johnson, Ry Cooder, Jim Spake and Jack Ashford","Keys to the Kingdom is the sixth studio album by American band North Mississippi Allstars. It was released in 2011 through Songs of the South Records. It features contributions from Mavis Staples, Alvin Youngblood Hart, Spooner Oldham, Gordie Johnson, Ry Cooder, Jim Spake and Jack Ashford. The album peaked at number 175 on the US Current Album Sales, number 46 on the Top Rock Albums, number two on the Top Blues Albums, number 27 on the Independent Albums, number four on the Heatseekers Albums and number 14 on the Tastemakers.== Critical reception ==Keys to the Kingdom was met with generally favorable reviews from music critics. At Metacritic, which assigns a normalized rating out of 100 to reviews from mainstream publications, the album received an average score of 68, based on six reviews.Doug Collette of All About Jazz found out that the album ""hearkens back to The North Mississippi Allstars earliest and rootsiest records, but nevertheless represents a marked advance in maturity"". AllMusic's Thom Jurek wrote that it ""may have been recorded in response to death and birth but it is, more than anything else, a celebration of all that Jim Dickinson held dear in life and music, which are, after all, the same thing"". Katie Chow of American Songwriter resumed: ""Keys to the Kingdom is both a tribute to and a continuation of the Dickinson musical tradition"". David Fricke of Rolling Stone wrote: ""deep roots, improvising valor and live-Cream brawn come easily to this trio.",Who contributed to the album Keys to the Kingdom by North Mississippi Allstars?,"Mavis Staples, Alvin Youngblood Hart, Spooner Oldham, Gordie Johnson, Ry Cooder, Jim Spake and Jack Ashford",en,0,40,Keys to the Kingdom (album),https://en.wikipedia.org/wiki/Keys_to_the_Kingdom_(album),1.7142857142857142,3,0
en,"In South Africa, a tenderpreneur is a person in government or the private sector who obtains private or government tenders and contracts to facilitate outsourced services.  The word tenderpreneur is a portmanteau of ""tendering"" and ""entrepreneur"". Some commentators believe that this practice might give rise to a kleptocracy as a deviant mutation of a democracy if left unchecked. In this regard a kleptocracy is defined as the condition arising when a political elite manipulates the three arms of government (legislative, executive and judicial) with the intention of capturing resources that will enrich that elite, a general phenomenon known as elite capture.Tenderpreneurship is often accomplished by overpricing and/or shoddy workmanship and/or excessive 'under the table' advances termed ""commissions"".The Star, a South African newspaper, describes a tenderpreneur as ""someone politically well-connected who has got rich through the government tendering system"". In January 2010, South African Communist Party leader Blade Nzimande called for transparency in the awarding of tenders, saying ""let's be bold, let's go and promote small entrepreneurs and defeat tenderpreneurs, those who steal."" The case involving the Gupta family and their close ties to the administration of president Jacob Zuma can be classified as tenderpreneurism.",What term is used in South Africa to describe someone who obtains government contracts to facilitate outsourced services?,Tenderpreneur,"In South Africa, a tenderpreneur is a person in government or the private sector who obtains private or government tenders and contracts to facilitate outsourced services.  The word tenderpreneur is a portmanteau of ""tendering"" and ""entrepreneur"". Some commentators believe that this practice might give rise to a kleptocracy as a deviant mutation of a democracy if left unchecked. In this regard a kleptocracy is defined as the condition arising when a political elite manipulates the three arms of government (legislative, executive and judicial) with the intention of capturing resources that will enrich that elite, a general phenomenon known as elite capture.Tenderpreneurship is often accomplished by overpricing and/or shoddy workmanship and/or excessive 'under the table' advances termed ""commissions"".The Star, a South African newspaper, describes a tenderpreneur as ""someone politically well-connected who has got rich through the government tendering system"". In January 2010, South African Communist Party leader Blade Nzimande called for transparency in the awarding of tenders, saying ""let's be bold, let's go and promote small entrepreneurs and defeat tenderpreneurs, those who steal."" The case involving the Gupta family and their close ties to the administration of president Jacob Zuma can be classified as tenderpreneurism.",What term is used in South Africa to describe someone who obtains government contracts to facilitate outsourced services?,Tenderpreneur,en,0,43,Tenderpreneur,https://en.wikipedia.org/wiki/Tenderpreneur,2.6842105263157894,6,2
en,"St John of God Bendigo Hospital is a 167-bed private hospital located in central Victoria.St John of God Health Care acquired Mt Alvernia Mercy Hospital in February 2005, renaming it St John of God Bendigo Hospital.  The private hospital services the City of Bendigo and Central Victoria.St John of God Bendigo Hospital is a division of St John of God Health Care, a Catholic not-for-profit health care group, serving communities with hospitals, home nursing, and social outreach services throughout Australia, New Zealand and the wider Asia-Pacific region. Currently the hospital is partially non-functional, and struggles to be viable. An entire ward is unused and the hospital is on unsure footing financially.== Facilities ==The 167-bed hospital has six theatres, one endoscopy suite, a cardiac interventional lab and a critical care/intensive care unit, as well as a hydrotherapy pool and gymnasium.== Services ==Services provided by St John of God Bendigo Hospital include:Medical and surgical careMaternityCardiology and coronary careIntensive careRehabilitationCancer treatmentObstetrics and gynaecologyDay surgeryElective surgeryOutpatient services== Social outreach ==St John of God Raphael Services provides perinatal infant mental health care in Bendigo. Staffed by mental health clinicians, Raphael Services provide free support for parents and families affected by anxiety, depression and other mental health difficulties during pregnancy and in the postnatal period.They services also provide counselling and support for parents undergoing prenatal testing or who have experienced pregnancy loss.",What type of health care group is St John of God Health Care?,Catholic not-for-profit,"St John of God Bendigo Hospital is a 167-bed private hospital located in central Victoria.St John of God Health Care acquired Mt Alvernia Mercy Hospital in February 2005, renaming it St John of God Bendigo Hospital.  The private hospital services the City of Bendigo and Central Victoria.St John of God Bendigo Hospital is a division of St John of God Health Care, a Catholic not-for-profit health care group, serving communities with hospitals, home nursing, and social outreach services throughout Australia, New Zealand and the wider Asia-Pacific region. Currently the hospital is partially non-functional, and struggles to be viable. An entire ward is unused and the hospital is on unsure footing financially.== Facilities ==The 167-bed hospital has six theatres, one endoscopy suite, a cardiac interventional lab and a critical care/intensive care unit, as well as a hydrotherapy pool and gymnasium.== Services ==Services provided by St John of God Bendigo Hospital include:Medical and surgical careMaternityCardiology and coronary careIntensive careRehabilitationCancer treatmentObstetrics and gynaecologyDay surgeryElective surgeryOutpatient services== Social outreach ==St John of God Raphael Services provides perinatal infant mental health care in Bendigo. Staffed by mental health clinicians, Raphael Services provide free support for parents and families affected by anxiety, depression and other mental health difficulties during pregnancy and in the postnatal period.They services also provide counselling and support for parents undergoing prenatal testing or who have experienced pregnancy loss.",What type of health care group is St John of God Health Care?,Catholic not-for-profit,en,0,53,St John of God Bendigo Hospital,https://en.wikipedia.org/wiki/St_John_of_God_Bendigo_Hospital,1.7857142857142858,3,0
en,"Archer Capital is an Australian private equity investment firm based in Sydney. It was founded as GS Private Equity in 1996. Archer Capital hosts multiple investment funds which invest in businesses across a wide array of industries and sectors, specifically targeting mid-market leveraged buyouts in Australia and New Zealand.The firm currently owns or co-owns a number of Australian and New Zealand companies including Allity and Craveable Brands. Previous investments include Australian Geographic, Dome, John West Foods, MYOB, Rebel, Supercars Championship and Repco.== Notable investments ==In 1998, the firm partnered with the then-management of Australian Geographic to purchase the business for A$50 million. It was later sold to a consortium including the Myer family.In 2000, Archer Capital gained a 50% stake in Dome coffeehouses, selling for A$20 million in 2003 to Navis. In 2001, Archer was part of a consortium (paying A$30 million) which purchased Repco from Pacific Dunlop, publicly listing the company on the Australian Stock Exchange in 2003.Archer Capital was involved in the purchase of John West Foods from Unilever in 2003.",What did Archer Capital purchase in partnership with the management of Australian Geographic in 1998?,Australian Geographic,"Archer Capital is an Australian private equity investment firm based in Sydney. It was founded as GS Private Equity in 1996. Archer Capital hosts multiple investment funds which invest in businesses across a wide array of industries and sectors, specifically targeting mid-market leveraged buyouts in Australia and New Zealand.The firm currently owns or co-owns a number of Australian and New Zealand companies including Allity and Craveable Brands. Previous investments include Australian Geographic, Dome, John West Foods, MYOB, Rebel, Supercars Championship and Repco.== Notable investments ==In 1998, the firm partnered with the then-management of Australian Geographic to purchase the business for A$50 million. It was later sold to a consortium including the Myer family.In 2000, Archer Capital gained a 50% stake in Dome coffeehouses, selling for A$20 million in 2003 to Navis. In 2001, Archer was part of a consortium (paying A$30 million) which purchased Repco from Pacific Dunlop, publicly listing the company on the Australian Stock Exchange in 2003.Archer Capital was involved in the purchase of John West Foods from Unilever in 2003.",What did Archer Capital purchase in partnership with the management of Australian Geographic in 1998?,Australian Geographic,en,0,49,Archer Capital,https://en.wikipedia.org/wiki/Archer_Capital,1.9375,4,0
en,"Parrhasia (Ancient Greek: Παρρασία) was a city of ancient Arcadia, in the region of Parrhasia. It was mentioned by Homer in the Catalogue of Ships in the Iliad. It was said to have been founded by Parrhasus, a son of Lycaon, or by Pelasgus, son of Arestor. Some writers equate the city with Lycosura.","According to some writers, which ancient city is equated with Parrhasia?",Lycosura,"Parrhasia (Ancient Greek: Παρρασία) was a city of ancient Arcadia, in the region of Parrhasia. It was mentioned by Homer in the Catalogue of Ships in the Iliad. It was said to have been founded by Parrhasus, a son of Lycaon, or by Pelasgus, son of Arestor. Some writers equate the city with Lycosura.","According to some writers, which ancient city is equated with Parrhasia?",Lycosura,en,0,34,Parrhasia (city),https://en.wikipedia.org/wiki/Parrhasia_(city),1.4615384615384615,3,0
